Date,activeaddresses
2018/06/05,499134
2018/06/06,492019
2018/06/07,505250
2018/06/08,457094
2018/06/09,114442
2018/06/10,0
2018/06/11,496834
2018/06/12,444363
2018/06/13,472109
2018/06/14,464054
2018/06/15,486845
2018/06/16,389220
2018/06/17,426187
2018/06/18,434675
2018/06/19,469531
2018/06/20,488703
2018/06/21,476828
2018/06/22,491548
2018/06/23,444135
2018/06/24,442470
2018/06/25,572412
2018/06/26,449056
2018/06/27,467771
2018/06/28,486542
2018/06/29,471212
2018/06/30,312005
2018/07/01,240774
2018/07/02,283454
2018/07/03,285116
2018/07/04,279950
2018/07/05,315468
2018/07/06,273281
2018/07/07,268087
2018/07/08,334687
2018/07/09,365810
2018/07/10,370640
2018/07/11,345703
2018/07/12,317570
2018/07/13,290070
2018/07/14,271143
2018/07/15,274937
2018/07/16,433632
2018/07/17,442224
2018/07/18,521071
2018/07/19,475555
2018/07/20,422199
2018/07/21,372200
2018/07/22,437724
2018/07/23,488591
2018/07/24,517574
2018/07/25,525637
2018/07/26,476865
2018/07/27,520943
2018/07/28,468877
2018/07/29,478433
2018/07/30,501806
2018/07/31,487330
2018/08/01,488231
2018/08/02,464727
2018/08/03,505140
2018/08/04,442282
2018/08/05,429772
2018/08/06,447630
2018/08/07,404364
2018/08/08,355769
2018/08/09,359896
2018/08/10,0
2018/08/11,0
2018/08/12,0
2018/08/13,445307
2018/08/14,421659
2018/08/15,404957
2018/08/16,449668
2018/08/17,376348
2018/08/18,376778
2018/08/19,367989
2018/08/20,419181
2018/08/21,362647
2018/08/22,374815
2018/08/23,365078
2018/08/24,373291
2018/08/25,369185
2018/08/26,382285
2018/08/27,404346
2018/08/28,396222
2018/08/29,326723
2018/08/30,357790
2018/08/31,354184
2018/09/01,401638
2018/09/02,418691
2018/09/03,417476
2018/09/04,380678
2018/09/05,393003
2018/09/06,373399
2018/09/07,373126
2018/09/08,352951
2018/09/09,353786
2018/09/10,351390
2018/09/11,328584
2018/09/12,330968
2018/09/13,343756
2018/09/14,316019
2018/09/15,272511
2018/09/16,269590
2018/09/17,330905
2018/09/18,292277
2018/09/19,281782
2018/09/20,302388
2018/09/21,319999
2018/09/22,279045
2018/09/23,280490
2018/09/24,280720
2018/09/25,299869
2018/09/26,278749
2018/09/27,293407
2018/09/28,298779
2018/09/29,253746
2018/09/30,296304
2018/10/01,280230
2018/10/02,273546
2018/10/03,334080
2018/10/04,343326
2018/10/05,365199
2018/10/06,387904
2018/10/07,306167
2018/10/08,327077
2018/10/09,330960
2018/10/10,308201
2018/10/11,333518
2018/10/12,320823
2018/10/13,325313
2018/10/14,316343
2018/10/15,353859
2018/10/16,362179
2018/10/17,365549
2018/10/18,348852
2018/10/19,344415
2018/10/20,335037
2018/10/21,313741
2018/10/22,363881
2018/10/23,348306
2018/10/24,344937
2018/10/25,337488
2018/10/26,346122
2018/10/27,314359
2018/10/28,316379
2018/10/29,379268
2018/10/30,378099
2018/10/31,369678
2018/11/01,348361
2018/11/02,305582
2018/11/03,294860
2018/11/04,299439
2018/11/05,345804
2018/11/06,331952
2018/11/07,314318
2018/11/08,307714
2018/11/09,331369
2018/11/10,304886
2018/11/11,345470
2018/11/12,337030
2018/11/13,323971
2018/11/14,338350
2018/11/15,328523
2018/11/16,314705
2018/11/17,293718
2018/11/18,279393
2018/11/19,374950
2018/11/20,358984
2018/11/21,314810
2018/11/22,304211
2018/11/23,309709
2018/11/24,270842
2018/11/25,302775
2018/11/26,308830
2018/11/27,294510
2018/11/28,327902
2018/11/29,292239
2018/11/30,319375
2018/12/01,278818
2018/12/02,268603
2018/12/03,294141
2018/12/04,286462
2018/12/05,311901
2018/12/06,307001
2018/12/07,325553
2018/12/08,339155
2018/12/09,305118
2018/12/10,327674
2018/12/11,294975
2018/12/12,294191
2018/12/13,296552
2018/12/14,297684
2018/12/15,308405
2018/12/16,326892
2018/12/17,314185
2018/12/18,295106
2018/12/19,323128
2018/12/20,325116
2018/12/21,316418
2018/12/22,265277
2018/12/23,294750
2018/12/24,331188
2018/12/25,293361
2018/12/26,305751
2018/12/27,306607
2018/12/28,326352
2018/12/29,314340
2018/12/30,278684
2018/12/31,298245
2019/01/01,268428
2019/01/02,310154
2019/01/03,330521
2019/01/04,299588
2019/01/05,283632
2019/01/06,285412
2019/01/07,321099
2019/01/08,330172
2019/01/09,326447
2019/01/10,321102
2019/01/11,304112
2019/01/12,247315
2019/01/13,265431
