Date,median_transaction_fee30trxUSD
2018/11/27,-0.549
2018/11/28,-0.576
2018/11/29,-0.599
2018/11/30,-0.609
2018/12/01,-0.62
2018/12/02,-0.631
2018/12/03,-0.643
2018/12/04,-0.655
2018/12/05,-0.666
2018/12/06,-0.678
2018/12/07,-0.693
2018/12/08,-0.716
2018/12/09,-0.746
2018/12/10,-0.78
2018/12/11,-0.816
2018/12/12,-0.854
2018/12/13,-0.888
2018/12/14,-0.922
2018/12/15,-0.959
2018/12/16,-0.999
2018/12/17,-1.038
2018/12/18,-1.072
2018/12/19,-1.099
2018/12/20,-1.12
2018/12/21,-1.134
2018/12/22,-1.146
2018/12/23,-1.15
2018/12/24,-1.142
2018/12/25,-1.126
2018/12/26,-1.109
2018/12/27,-1.092
2018/12/28,-1.073
2018/12/29,-1.055
2018/12/30,-1.032
2018/12/31,-1.008
2019/01/01,-0.987
2019/01/02,-0.964
2019/01/03,-0.942
2019/01/04,-0.913
2019/01/05,-0.886
2019/01/06,-0.862
2019/01/07,-0.835
2019/01/08,-0.809
2019/01/09,-0.784
2019/01/10,-0.757
2019/01/11,-0.735
2019/01/12,-0.718
2019/01/13,-0.707
2019/01/14,-0.685
2019/01/15,-0.656
2019/01/16,-0.626
2019/01/17,-0.598
2019/01/18,-0.571
2019/01/19,-0.55
2019/01/20,-0.529
2019/01/21,-0.511
2019/01/22,-0.495
2019/01/23,-0.48
2019/01/24,-0.466
2019/01/25,-0.454
2019/01/26,-0.446
2019/01/27,-0.445
2019/01/28,-0.443
2019/01/29,-0.445
2019/01/30,-0.447
2019/01/31,-0.446
2019/02/01,-0.445
2019/02/02,-0.448
2019/02/03,-0.452
2019/02/04,-0.458
2019/02/05,-0.465
2019/02/06,-0.473
2019/02/07,-0.48
2019/02/08,-0.484
2019/02/09,-0.484
2019/02/10,-0.481
2019/02/11,-0.47
2019/02/12,-0.457
2019/02/13,-0.438
2019/02/14,-0.42
2019/02/15,-0.394
2019/02/16,-0.367
2019/02/17,-0.334
2019/02/18,-0.285
2019/02/19,-0.223
2019/02/20,-0.151
2019/02/21,-0.075
2019/02/22,0.006
2019/02/23,0.088
2019/02/24,0.174
2019/02/25,0.258
2019/02/26,0.343
2019/02/27,0.423
2019/02/28,0.503
2019/03/01,0.565
2019/03/02,0.606
2019/03/03,0.63
2019/03/04,0.638
2019/03/05,0.639
2019/03/06,0.633
2019/03/07,0.623
2019/03/08,0.606
2019/03/09,0.578
2019/03/10,0.542
2019/03/11,0.501
2019/03/12,0.453
2019/03/13,0.401
2019/03/14,0.345
2019/03/15,0.287
2019/03/16,0.23
2019/03/17,0.172
2019/03/18,0.115
2019/03/19,0.069
2019/03/20,0.023
2019/03/21,-0.018
