Date,price7rsiUSD
2018/03/25,29.273
2018/03/26,25.283
2018/03/27,20.154
2018/03/28,18.689
2018/03/29,14.824
2018/03/30,12.414
2018/03/31,20.831
2018/04/01,18.448
2018/04/02,20.221
2018/04/03,29.187
2018/04/04,26.935
2018/04/05,24.187
2018/04/06,22.889
2018/04/07,31.432
2018/04/08,38.549
2018/04/09,44.042
2018/04/10,43.353
2018/04/11,53.931
2018/04/12,66.907
2018/04/13,79.113
2018/04/14,77.307
2018/04/15,80.529
2018/04/16,75.007
2018/04/17,75.009
2018/04/18,75.81
2018/04/19,82.362
2018/04/20,87.863
2018/04/21,89.685
2018/04/22,91.085
2018/04/23,92.243
2018/04/24,94.648
2018/04/25,71.25
2018/04/26,65.873
2018/04/27,72.363
2018/04/28,74.201
2018/04/29,75.545
2018/04/30,74.599
2018/05/01,61.062
2018/05/02,66.967
2018/05/03,77.511
2018/05/04,83.09
2018/05/05,85.377
2018/05/06,77.624
2018/05/07,59.119
2018/05/08,60.416
2018/05/09,57.096
2018/05/10,60.972
2018/05/11,43.24
2018/05/12,36.951
2018/05/13,47.423
2018/05/14,51.699
2018/05/15,53.215
2018/05/16,44.103
2018/05/17,45.928
2018/05/18,39.386
2018/05/19,46.977
2018/05/20,52.442
2018/05/21,50.683
2018/05/22,40.737
2018/05/23,25.592
2018/05/24,21.66
2018/05/25,25.335
2018/05/26,26.144
2018/05/27,22.337
2018/05/28,17.084
2018/05/29,19.761
2018/05/30,30.852
2018/05/31,36.293
2018/06/01,38.478
2018/06/02,45.275
2018/06/03,55.69
2018/06/04,51.11
2018/06/05,47.651
2018/06/06,52.969
2018/06/07,54.793
2018/06/08,50.371
2018/06/09,51.868
2018/06/10,29.768
2018/06/11,21.803
2018/06/12,20.866
2018/06/13,14.683
2018/06/14,22.438
2018/06/15,28.458
2018/06/16,27.057
2018/06/17,30.953
2018/06/18,31.555
2018/06/19,49.457
2018/06/20,50.502
2018/06/21,53.118
2018/06/22,32.031
2018/06/23,26.653
2018/06/24,22.061
2018/06/25,26.785
2018/06/26,24.9
2018/06/27,20.878
2018/06/28,21.969
2018/06/29,17.565
2018/06/30,41.538
2018/07/01,43.323
2018/07/02,48.493
2018/07/03,54.796
2018/07/04,51.386
2018/07/05,53.16
2018/07/06,50.7
2018/07/07,52.716
2018/07/08,64.972
2018/07/09,59.049
2018/07/10,37.618
2018/07/11,33.147
2018/07/12,30.844
2018/07/13,32.86
2018/07/14,31.782
2018/07/15,42.151
2018/07/16,58.451
2018/07/17,67.027
2018/07/18,72.54
2018/07/19,55.922
2018/07/20,46.87
2018/07/21,47.515
2018/07/22,50.111
2018/07/23,47.514
2018/07/24,53.934
2018/07/25,59.009
2018/07/26,59.988
2018/07/27,48.559
2018/07/28,51.075
2018/07/29,49.33
2018/07/30,42.612
2018/07/31,29.018
2018/08/01,20.681
2018/08/02,19.073
2018/08/03,17.269
2018/08/04,20.38
2018/08/05,18.339
2018/08/06,19.878
2018/08/07,17.813
2018/08/08,8.983
2018/08/09,8.318
2018/08/10,7.67
2018/08/11,4.542
2018/08/12,7.904
2018/08/13,6.663
2018/08/14,4.1
2018/08/15,22.419
2018/08/16,22.985
2018/08/17,31.897
2018/08/18,34.082
2018/08/19,31.704
2018/08/20,29.379
2018/08/21,24.497
2018/08/22,27.943
2018/08/23,24.81
2018/08/24,28.271
2018/08/25,32.42
2018/08/26,28.922
2018/08/27,33.311
2018/08/28,47.422
2018/08/29,51.547
2018/08/30,41.637
2018/08/31,40.771
2018/09/01,52.066
2018/09/02,56.257
2018/09/03,50.487
2018/09/04,47.487
2018/09/05,28.732
2018/09/06,16.066
2018/09/07,15.391
2018/09/08,13.269
2018/09/09,10.876
2018/09/10,10.713
2018/09/11,9.719
2018/09/12,7.827
2018/09/13,31.48
2018/09/14,44.016
2018/09/15,47.876
2018/09/16,47.509
2018/09/17,43.622
2018/09/18,37.206
2018/09/19,43.476
2018/09/20,44.701
2018/09/21,61.036
2018/09/22,67.289
2018/09/23,68.204
2018/09/24,60.999
2018/09/25,41.926
2018/09/26,42.624
2018/09/27,46.473
2018/09/28,53.356
2018/09/29,54.03
2018/09/30,60.081
2018/10/01,56.919
2018/10/02,53.895
2018/10/03,42.853
2018/10/04,48.289
2018/10/05,47.247
2018/10/06,51.806
2018/10/07,48.894
2018/10/08,54.741
2018/10/09,56.643
2018/10/10,50.055
2018/10/11,23.664
2018/10/12,20.731
2018/10/13,26.919
2018/10/14,29.224
2018/10/15,44.796
2018/10/16,46.952
2018/10/17,46.104
2018/10/18,41.679
2018/10/19,36.634
2018/10/20,41.55
2018/10/21,45.813
2018/10/22,41.538
2018/10/23,37.897
2018/10/24,40.891
2018/10/25,36.711
2018/10/26,38.311
2018/10/27,40.34
2018/10/28,41.924
2018/10/29,32.047
2018/10/30,24.126
2018/10/31,25.975
2018/11/01,33.203
2018/11/02,44.853
2018/11/03,43.211
2018/11/04,58.003
2018/11/05,70.169
2018/11/06,76.489
2018/11/07,82.944
2018/11/08,67.327
2018/11/09,57.257
2018/11/10,59.285
2018/11/11,56.753
2018/11/12,57.516
2018/11/13,50.045
2018/11/14,27.468
2018/11/15,14.911
2018/11/16,14.761
2018/11/17,13.233
2018/11/18,19.445
2018/11/19,11.919
2018/11/20,7.784
2018/11/21,7.029
2018/11/22,6.946
2018/11/23,5.541
2018/11/24,5.478
2018/11/25,4.151
2018/11/26,9.289
2018/11/27,8.082
2018/11/28,27.571
2018/11/29,30.481
2018/11/30,27.763
2018/12/01,29.6
2018/12/02,32.054
2018/12/03,26.573
2018/12/04,25.547
2018/12/05,22.548
2018/12/06,17.287
2018/12/07,12.019
2018/12/08,20.527
2018/12/09,26.716
2018/12/10,25.495
2018/12/11,23.116
2018/12/12,25.088
2018/12/13,24.087
2018/12/14,20.334
2018/12/15,18.982
2018/12/16,29.04
2018/12/17,39.489
2018/12/18,52.741
2018/12/19,67.215
2018/12/20,72.35
2018/12/21,76.986
2018/12/22,71.177
2018/12/23,83.492
2018/12/24,88.807
2018/12/25,64.486
2018/12/26,65.595
2018/12/27,57.396
2018/12/28,56.534
2018/12/29,68.112
2018/12/30,67.143
2018/12/31,64.992
2019/01/01,63.776
2019/01/02,74.326
2019/01/03,76.009
2019/01/04,76.482
2019/01/05,80.378
2019/01/06,72.871
2019/01/07,70.407
2019/01/08,61.945
2019/01/09,63.48
2019/01/10,38.218
2019/01/11,29.777
2019/01/12,29.168
2019/01/13,25.606
2019/01/14,25.458
2019/01/15,37.782
2019/01/16,32.34
2019/01/17,31.468
2019/01/18,31.161
2019/01/19,36.771
2019/01/20,33.085
2019/01/21,27.2
2019/01/22,29.064
2019/01/23,31.667
2019/01/24,28.506
2019/01/25,27.942
2019/01/26,29.525
2019/01/27,25.478
2019/01/28,14.58
2019/01/29,13.414
2019/01/30,23.483
2019/01/31,27.051
2019/02/01,24.469
2019/02/02,28.338
2019/02/03,33.481
2019/02/04,30.464
2019/02/05,29.606
2019/02/06,21.374
2019/02/07,29.285
2019/02/08,54.585
2019/02/09,72.622
2019/02/10,71.065
2019/02/11,74.89
2019/02/12,73.078
2019/02/13,76.194
2019/02/14,73.591
2019/02/15,71.992
2019/02/16,74.274
2019/02/17,80.732
2019/02/18,91.633
2019/02/19,93.336
2019/02/20,86.832
2019/02/21,87.052
2019/02/22,88.069
2019/02/23,89.939
2019/02/24,91.395
2019/02/25,50.269
2019/02/26,47.33
2019/02/27,46.874
2019/02/28,47.375
2019/03/01,46.57
2019/03/02,40.159
2019/03/03,38.579
2019/03/04,27.812
2019/03/05,41.09
2019/03/06,55.391
2019/03/07,56.444
2019/03/08,52.976
2019/03/09,53.539
2019/03/10,50.184
2019/03/11,43.673
2019/03/12,41.965
2019/03/13,39.014
2019/03/14,38.42
2019/03/15,52.489
2019/03/16,69.756
2019/03/17,60.962
2019/03/18,58.647
2019/03/19,57.409
2019/03/20,57.526
2019/03/21,53.817
2019/03/22,46.735
2019/03/23,50.544
2019/03/24,46.603
2019/03/25,40.206
2019/03/26,34.44
2019/03/27,57.34
2019/03/28,59.395
2019/03/29,66.732
2019/03/30,74.018
2019/03/31,65.042
2019/04/01,67.128
2019/04/02,85.189
2019/04/03,92.484
2019/04/04,69.848
2019/04/05,72.208
2019/04/06,74.004
2019/04/07,76.859
2019/04/08,83.686
2019/04/09,76.345
2019/04/10,78.09
2019/04/11,55.451
2019/04/12,50.214
2019/04/13,50.201
2019/04/14,49.792
2019/04/15,52.054
2019/04/16,48.341
2019/04/17,54.883
2019/04/18,65.804
2019/04/19,65.881
2019/04/20,67.909
2019/04/21,56.013
2019/04/22,57.49
2019/04/23,63.767
2019/04/24,43.432
2019/04/25,38.519
2019/04/26,27.453
2019/04/27,32.723
2019/04/28,34.625
2019/04/29,31.121
2019/04/30,40.23
2019/05/01,47.823
2019/05/02,46.18
2019/05/03,60.561
2019/05/04,54.345
2019/05/05,50.929
2019/05/06,60.897
2019/05/07,74.816
2019/05/08,57.929
2019/05/09,58.106
2019/05/10,63.165
2019/05/11,77.557
2019/05/12,80.646
2019/05/13,82.188
2019/05/14,87.852
2019/05/15,92.972
2019/05/16,95.462
2019/05/17,71.999
2019/05/18,71.73
2019/05/19,76.827
2019/05/20,72.758
2019/05/21,74.281
2019/05/22,74.446
2019/05/23,59.487
2019/05/24,65.014
2019/05/25,66.373
2019/05/26,66.654
2019/05/27,76.292
2019/05/28,77.207
2019/05/29,74.861
2019/05/30,78.307
2019/05/31,53.595
2019/06/01,61.827
2019/06/02,62.163
2019/06/03,54.999
2019/06/04,38.797
2019/06/05,37.96
2019/06/06,38.31
2019/06/07,44.958
2019/06/08,42.498
2019/06/09,33.963
2019/06/10,35.765
2019/06/11,43.315
2019/06/12,54.095
2019/06/13,63.373
2019/06/14,58.879
2019/06/15,68.105
2019/06/16,72.02
