Date,transactionvalue3rocUSD
2018/05/23,73.86
2018/05/24,4.967
2018/05/25,-26.322
2018/05/26,-48.501
2018/05/27,-4.536
2018/05/28,26.871
2018/05/29,43.967
2018/05/30,2.233
2018/05/31,-8.789
2018/06/01,25.765
2018/06/02,-33.404
2018/06/03,-45.835
2018/06/04,-19.57
2018/06/05,58.345
2018/06/06,112.597
2018/06/07,11.203
2018/06/08,23.013
2018/06/09,-47.92
2018/06/10,-22.712
2018/06/11,-23.039
2018/06/12,114.941
2018/06/13,89.892
2018/06/14,75.402
2018/06/15,16.918
2018/06/16,-49.419
2018/06/17,-65.132
2018/06/18,-51.268
2018/06/19,4.927
2018/06/20,49.316
2018/06/21,15.022
2018/06/22,16.571
2018/06/23,-34.254
2018/06/24,1.273
2018/06/25,-13.84
2018/06/26,33.108
2018/06/27,-18.536
2018/06/28,-20.054
2018/06/29,3.104
2018/06/30,-18.888
2018/07/01,-30.719
2018/07/02,8.673
2018/07/03,68.194
2018/07/04,122.119
2018/07/05,9.996
2018/07/06,9.452
2018/07/07,-33.26
2018/07/08,-33.473
2018/07/09,-20.595
2018/07/10,14.681
2018/07/11,-0.895
2018/07/12,-22.445
2018/07/13,-22.302
2018/07/14,-18.387
2018/07/15,-22.638
2018/07/16,18.169
2018/07/17,54.835
2018/07/18,75.003
2018/07/19,-6.148
2018/07/20,-1.602
2018/07/21,-40.549
2018/07/22,-33.506
2018/07/23,-17.941
2018/07/24,27.816
2018/07/25,29.267
2018/07/26,-17.818
2018/07/27,-22.305
2018/07/28,-42.485
2018/07/29,-38.564
2018/07/30,18.078
2018/07/31,217.897
2018/08/01,68.536
2018/08/02,-9.543
2018/08/03,-57.121
2018/08/04,-34.943
2018/08/05,-39.624
2018/08/06,-0.607
2018/08/07,59.513
2018/08/08,159.044
2018/08/09,50.136
2018/08/10,21.306
2018/08/11,-39.844
2018/08/12,-52.813
2018/08/13,4.528
2018/08/14,49.366
2018/08/15,103.44
2018/08/16,-43.82
2018/08/17,-23.269
2018/08/18,-48.019
2018/08/19,-37.462
2018/08/20,-30.682
2018/08/21,25.685
2018/08/22,110.85
2018/08/23,4.591
2018/08/24,-1.545
2018/08/25,-36.379
2018/08/26,-29.982
2018/08/27,4.112
2018/08/28,30.524
2018/08/29,78.719
2018/08/30,-1.464
2018/08/31,7.397
2018/09/01,-38.09
2018/09/02,-36.094
2018/09/03,12.516
2018/09/04,175.895
