Date,transactions3var
2018/02/13,1198245098
2018/02/14,1529017523
2018/02/15,217016082
2018/02/16,883843315
2018/02/17,1091613085
2018/02/18,824764530
2018/02/19,539741384
2018/02/20,2874374051
2018/02/21,950782002
2018/02/22,2755817754
2018/02/23,2496591578
2018/02/24,185873915
2018/02/25,399331508
2018/02/26,445054550
2018/02/27,450081727
2018/02/28,310511150
2018/03/01,229098618
2018/03/02,612812305
2018/03/03,980083641
2018/03/04,1807789245
2018/03/05,2132676454
2018/03/06,2046242772
2018/03/07,848765420
2018/03/08,1592557976
2018/03/09,3138471010
2018/03/10,1644875441
2018/03/11,604949281
2018/03/12,1395208503
2018/03/13,1482889327
2018/03/14,141328817
2018/03/15,337965751
2018/03/16,61535188
2018/03/17,836528173
2018/03/18,1429818965
2018/03/19,2320719755
2018/03/20,295681918
2018/03/21,345608547
2018/03/22,1027098263
2018/03/23,1100490380
2018/03/24,827310556
2018/03/25,3815851880
2018/03/26,1974240373
2018/03/27,1687482349
2018/03/28,446131718
2018/03/29,3590551
2018/03/30,599864449
2018/03/31,546381598
2018/04/01,1310154339
2018/04/02,509748378
2018/04/03,1694832350
2018/04/04,383375661
2018/04/05,816351444
2018/04/06,802452067
2018/04/07,4496152177
2018/04/08,2098225376
2018/04/09,1027585126
2018/04/10,251770700
2018/04/11,322026281
2018/04/12,2565451926
2018/04/13,2566299692
2018/04/14,2472355523
2018/04/15,2939405381
2018/04/16,542442988
2018/04/17,2579099708
2018/04/18,1024998225
2018/04/19,2111189617
2018/04/20,3252133729
2018/04/21,1376621873
2018/04/22,1596974780
2018/04/23,683028824
2018/04/24,849313376
2018/04/25,54797753
2018/04/26,91899382
2018/04/27,231455927
2018/04/28,147303656
2018/04/29,58599494
2018/04/30,90883619
2018/05/01,714229123
2018/05/02,1076040561
2018/05/03,2662320022
2018/05/04,8208566724
2018/05/05,8118576606
2018/05/06,16652440709
2018/05/07,2146888739
2018/05/08,3025558217
2018/05/09,304279085
2018/05/10,209936920
2018/05/11,156918752
2018/05/12,737884014
2018/05/13,682861828
2018/05/14,265473933
2018/05/15,258035840
2018/05/16,146847362
2018/05/17,533014203
2018/05/18,159089377
2018/05/19,37251942
2018/05/20,882908798
2018/05/21,813986349
2018/05/22,340635585
2018/05/23,166619532
2018/05/24,82218188
2018/05/25,184306540
2018/05/26,449383367
2018/05/27,258666211
