Date,hashrate30roc
2018/09/24,-7.697
2018/09/25,-10.194
2018/09/26,-6.517
2018/09/27,-6.16
2018/09/28,-4.881
2018/09/29,-7.024
2018/09/30,-5.919
2018/10/01,-6.668
2018/10/02,-5.595
2018/10/03,-6.105
2018/10/04,-5.593
2018/10/05,-6.161
2018/10/06,-5.447
2018/10/07,-3.121
2018/10/08,-1.902
2018/10/09,2.241
2018/10/10,1.172
2018/10/11,1.558
2018/10/12,2.643
2018/10/13,4.295
2018/10/14,2.221
2018/10/15,0.995
2018/10/16,1.564
2018/10/17,0.669
2018/10/18,2.691
2018/10/19,-0.28
2018/10/20,-1.039
2018/10/21,-1.759
2018/10/22,-5.509
2018/10/23,-3.484
2018/10/24,-3.472
2018/10/25,-4.176
2018/10/26,-7.226
2018/10/27,-6.158
2018/10/28,-6.498
2018/10/29,-5.754
2018/10/30,-6.66
2018/10/31,-3.134
2018/11/01,-5.957
2018/11/02,-7.687
2018/11/03,-8.879
2018/11/04,-6.83
2018/11/05,-8.185
2018/11/06,-8.787
2018/11/07,-8.925
2018/11/08,-7.279
2018/11/09,-9.275
2018/11/10,-6.948
2018/11/11,-4.926
2018/11/12,-6.515
2018/11/13,-6.622
2018/11/14,-5.553
2018/11/15,-6.128
2018/11/16,-3.957
2018/11/17,-9.089
2018/11/18,-7.633
2018/11/19,-7.622
2018/11/20,-8.21
2018/11/21,-10.801
2018/11/22,-14.169
2018/11/23,-13.537
2018/11/24,-13.077
2018/11/25,-14.221
2018/11/26,-14.86
2018/11/27,-21.094
2018/11/28,-23.436
2018/11/29,-22.562
2018/11/30,-24.407
2018/12/01,-20.307
2018/12/02,-21.875
2018/12/03,-22.006
2018/12/04,-21.64
2018/12/05,-22.974
2018/12/06,-21.669
2018/12/07,-25.704
2018/12/08,-27.831
2018/12/09,-26.966
2018/12/10,-23.584
2018/12/11,-27.898
2018/12/12,-28.059
2018/12/13,-29.28
2018/12/14,-30.796
2018/12/15,-28.785
2018/12/16,-31.077
2018/12/17,-29.539
2018/12/18,-31.19
2018/12/19,-29.588
2018/12/20,-28.687
2018/12/21,-25.018
2018/12/22,-21.96
2018/12/23,-22.486
2018/12/24,-18.013
2018/12/25,-13.988
2018/12/26,-10.585
2018/12/27,-5.433
2018/12/28,-3.266
2018/12/29,-4.481
2018/12/30,-3.475
2018/12/31,-4.577
2019/01/01,-6.079
2019/01/02,-2.604
2019/01/03,-4.496
2019/01/04,-2.562
2019/01/05,-1.577
2019/01/06,3.95
2019/01/07,7.922
2019/01/08,5.834
2019/01/09,3.053
2019/01/10,4.804
2019/01/11,8.125
2019/01/12,5.817
2019/01/13,8.672
2019/01/14,7.543
2019/01/15,11.378
