Date,sentinusd14stdUSD
2018/12/11,1140753525
2018/12/12,1150643803
2018/12/13,1157010552
2018/12/14,804684251
2018/12/15,143879527
2018/12/16,146093317
2018/12/17,148932101
2018/12/18,150875240
2018/12/19,178860933
2018/12/20,201935418
2018/12/21,223384012
2018/12/22,224063029
2018/12/23,226469656
2018/12/24,264611048
2018/12/25,259781373
2018/12/26,253176728
2018/12/27,250668065
2018/12/28,243749148
2018/12/29,233290540
2018/12/30,216439352
2018/12/31,219070287
2019/01/01,230395308
2019/01/02,227166682
2019/01/03,218909573
2019/01/04,234922309
2019/01/05,267092515
2019/01/06,267314895
2019/01/07,248193588
2019/01/08,245733527
2019/01/09,240705539
2019/01/10,240452997
2019/01/11,244894638
2019/01/12,259479131
2019/01/13,260895752
2019/01/14,256074321
2019/01/15,244758739
2019/01/16,247430357
2019/01/17,256170021
2019/01/18,243541930
2019/01/19,190823510
2019/01/20,196820499
2019/01/21,194705135
2019/01/22,196001274
2019/01/23,195896865
2019/01/24,176837990
2019/01/25,125068920
2019/01/26,131694012
2019/01/27,131838335
2019/01/28,106502147
2019/01/29,100761618
2019/01/30,89015079
2019/01/31,88262345
2019/02/01,88683569
2019/02/02,99720635
2019/02/03,109121159
2019/02/04,123591799
2019/02/05,135786722
2019/02/06,135467502
2019/02/07,131209485
2019/02/08,131888285
2019/02/09,133269190
2019/02/10,133181419
2019/02/11,104780040
2019/02/12,99852605
2019/02/13,93953552
2019/02/14,85108256
2019/02/15,83658862
2019/02/16,83415291
2019/02/17,85145295
2019/02/18,146460483
2019/02/19,171566908
2019/02/20,177852100
2019/02/21,176431220
2019/02/22,179786343
2019/02/23,169447930
2019/02/24,188047912
2019/02/25,223352554
2019/02/26,216232738
2019/02/27,217077122
2019/02/28,208406444
2019/03/01,199996512
2019/03/02,184010259
2019/03/03,183254789
2019/03/04,175656684
2019/03/05,169281203
2019/03/06,169324022
2019/03/07,169663861
2019/03/08,169864663
2019/03/09,167502327
2019/03/10,156139688
2019/03/11,102872479
2019/03/12,102403438
2019/03/13,83228458
2019/03/14,81028981
2019/03/15,79823911
2019/03/16,64968350
2019/03/17,60524839
2019/03/18,69090485
2019/03/19,70362982
2019/03/20,90313929
2019/03/21,93340662
2019/03/22,92333256
2019/03/23,92124655
2019/03/24,90141398
2019/03/25,99210641
2019/03/26,100558180
2019/03/27,98327350
2019/03/28,98150992
2019/03/29,100337314
2019/03/30,98372397
2019/03/31,87883110
2019/04/01,87007962
2019/04/02,170571038
2019/04/03,248332272
2019/04/04,251387577
2019/04/05,245620006
2019/04/06,248886744
2019/04/07,233994131
2019/04/08,273096517
2019/04/09,280777019
2019/04/10,272794690
2019/04/11,262134531
2019/04/12,257498673
2019/04/13,276276433
2019/04/14,280383938
2019/04/15,273964520
2019/04/16,264401338
2019/04/17,225949633
2019/04/18,225444053
2019/04/19,225841328
2019/04/20,223464891
2019/04/21,227595512
2019/04/22,175482180
2019/04/23,147378393
2019/04/24,165593344
2019/04/25,169590976
2019/04/26,230312972
2019/04/27,221675675
2019/04/28,210205864
2019/04/29,211620194
2019/04/30,208344024
2019/05/01,205008650
2019/05/02,212293009
2019/05/03,211437242
2019/05/04,211573093
2019/05/05,217182248
2019/05/06,219033233
2019/05/07,232855244
2019/05/08,226788341
2019/05/09,224594355
2019/05/10,177325786
2019/05/11,262050781
2019/05/12,258696590
2019/05/13,297627714
2019/05/14,318745746
2019/05/15,403293010
2019/05/16,753347924
2019/05/17,769585047
2019/05/18,745378201
2019/05/19,711020147
2019/05/20,696574629
2019/05/21,690441928
