Date,difficulty30ema
2018/11/02,3.1518317569901E+15
2018/11/03,3142089036844850
2018/11/04,3.1350829745668E+15
2018/11/05,3125683273968099
2018/11/06,3118440810278280
2018/11/07,3.1109761377237E+15
2018/11/08,3.1078301185468E+15
2018/11/09,3101075691356890
2018/11/10,3.0945095748302E+15
2018/11/11,3.0937279968973E+15
2018/11/12,3088187312731086
2018/11/13,3.0845958201795E+15
2018/11/14,3.0831895992555E+15
2018/11/15,3.082325406204E+15
2018/11/16,3082757524137501
2018/11/17,3.0783198102636E+15
2018/11/18,3.0727369787022E+15
2018/11/19,3.0678061154802E+15
2018/11/20,3058614404850332
2018/11/21,3041265274362585
2018/11/22,3022907980455814
2018/11/23,3.0062422730344E+15
2018/11/24,2.9901648053458E+15
2018/11/25,2971896769650222
2018/11/26,2954012824934474
2018/11/27,2925771622893750
2018/11/28,2891837043072707
2018/11/29,2861336833507971
2018/11/30,2833226923433547
2018/12/01,2812548745996391
2018/12/02,2787574187333748
2018/12/03,2.7639753755178E+15
2018/12/04,2744803862272451
2018/12/05,2722500646002140
2018/12/06,2704501341322294
2018/12/07,2.682308636453E+15
2018/12/08,2.658233940621E+15
2018/12/09,2.6344151438786E+15
2018/12/10,2616685024624635
2018/12/11,2599514661245838
2018/12/12,2.5774877945459E+15
2018/12/13,2.5543619367575E+15
2018/12/14,2532567242706192
2018/12/15,2.5125500995413E+15
2018/12/16,2.4938447151969E+15
2018/12/17,2.4775589685026E+15
2018/12/18,2460939255608882
2018/12/19,2.4476208269402E+15
2018/12/20,2434312830300313
2018/12/21,2423283938303221
2018/12/22,2413227610805360
2018/12/23,2405984001699931
2018/12/24,2.4047032263185E+15
2018/12/25,2408041739988368
2018/12/26,2415682025886311
2018/12/27,2421054101294403
2018/12/28,2423044797574389
2018/12/29,2424051611953736
2018/12/30,2428505425570868
2018/12/31,2433390341992816
2019/01/01,2431123002310778
2019/01/02,2430687362250910
2019/01/03,2.4410435544415E+15
2019/01/04,2.4507917408638E+15
2019/01/05,2462826749562965
2019/01/06,2477894679757872
2019/01/07,2492325607781050
2019/01/08,2503699974668724
2019/01/09,2516615791283400
2019/01/10,2.5267930059871E+15
2019/01/11,2.5374536280342E+15
2019/01/12,2543088912438456
2019/01/13,2547285737828509
2019/01/14,2.5528377132528E+15
2019/01/15,2.5624665037472E+15
2019/01/16,2566245987552747
2019/01/17,2567186962022826
2019/01/18,2567475764233778
2019/01/19,2571965744497461
2019/01/20,2.5785206199128E+15
2019/01/21,2595444714603761
2019/01/22,2613722623113596
2019/01/23,2.6226975884648E+15
2019/01/24,2634465798846413
2019/01/25,2.645953438607E+15
2019/01/26,2652610220439805
2019/01/27,2658216064035986
2019/01/28,2654799447300564
2019/01/29,2641184496659522
2019/01/30,2625916885180982
2019/01/31,2.6155840499969E+15
2019/02/01,2.6021933349591E+15
2019/02/02,2.5864976469367E+15
2019/02/03,2.5715371554441E+15
2019/02/04,2.5580123522057E+15
2019/02/05,2545495352434730
2019/02/06,2532807893789480
2019/02/07,2.5199861421033E+15
2019/02/08,2.5104203927133E+15
2019/02/09,2.5013667983407E+15
2019/02/10,2520608697415512
2019/02/11,2.5380180699345E+15
2019/02/12,2557855398680619
2019/02/13,2.5743604140076E+15
2019/02/14,2586587850684637
2019/02/15,2597682576553009
2019/02/16,2.6101864579688E+15
2019/02/17,2621605653747210
2019/02/18,2633150041831841
2019/02/19,2.6523865839012E+15
2019/02/20,2.670576509629E+15
2019/02/21,2687698847452224
2019/02/22,2.7020398646759E+15
2019/02/23,2722530132689268
2019/02/24,2.7411404708401E+15
2019/02/25,2755653989178485
2019/02/26,2770013958169575
2019/02/27,2783226552793010
2019/02/28,2792531453674285
2019/03/01,2743740685395132
2019/03/02,2.6908059980971E+15
2019/03/03,2640370346585424
2019/03/04,2591784392693712
2019/03/05,2.5473080733773E+15
2019/03/06,2506298811481706
2019/03/07,2.4674747173408E+15
2019/03/08,2.4327602270371E+15
2019/03/09,2.3973039516354E+15
