Date,activeaddresses7sma
2019/06/21,455749
2019/06/22,452771
2019/06/23,428139
2019/06/24,431169
2019/06/25,427720
2019/06/26,437720
2019/06/27,446290
2019/06/28,439572
2019/06/29,431665
2019/06/30,424547
2019/07/01,417548
2019/07/02,419764
2019/07/03,411700
2019/07/04,406750
2019/07/05,403176
2019/07/06,397082
2019/07/07,392477
2019/07/08,392145
2019/07/09,388467
2019/07/10,383287
2019/07/11,376511
2019/07/12,378256
2019/07/13,373176
2019/07/14,375075
2019/07/15,376944
2019/07/16,362522
2019/07/17,360803
2019/07/18,359742
2019/07/19,353664
2019/07/20,353824
2019/07/21,346790
2019/07/22,340998
2019/07/23,341869
2019/07/24,330285
2019/07/25,323114
2019/07/26,321657
2019/07/27,323131
2019/07/28,327772
2019/07/29,325693
2019/07/30,335220
2019/07/31,341018
2019/08/01,343435
2019/08/02,344663
2019/08/03,340595
2019/08/04,331339
2019/08/05,339081
2019/08/06,341540
2019/08/07,345391
2019/08/08,351038
2019/08/09,355972
2019/08/10,364466
2019/08/11,374616
2019/08/12,374947
2019/08/13,371688
2019/08/14,374683
2019/08/15,374154
2019/08/16,374352
2019/08/17,371535
2019/08/18,371095
2019/08/19,366859
2019/08/20,366906
2019/08/21,366985
2019/08/22,369292
2019/08/23,370222
2019/08/24,372935
2019/08/25,375498
2019/08/26,377067
2019/08/27,376389
2019/08/28,372928
2019/08/29,372409
2019/08/30,367174
2019/08/31,364456
2019/09/01,362018
2019/09/02,361660
2019/09/03,360330
2019/09/04,359426
2019/09/05,363037
2019/09/06,367448
2019/09/07,369276
2019/09/08,372098
2019/09/09,373228
2019/09/10,369875
2019/09/11,370549
2019/09/12,366525
2019/09/13,356924
2019/09/14,354353
2019/09/15,353105
2019/09/16,352873
2019/09/17,354097
2019/09/18,354213
2019/09/19,351115
2019/09/20,359673
2019/09/21,355070
2019/09/22,347636
2019/09/23,335304
2019/09/24,334255
2019/09/25,329882
2019/09/26,325954
2019/09/27,317030
2019/09/28,317840
2019/09/29,317653
2019/09/30,321786
2019/10/01,318372
2019/10/02,316087
2019/10/03,311443
2019/10/04,306535
2019/10/05,306233
2019/10/06,307187
2019/10/07,304467
2019/10/08,304925
2019/10/09,311466
2019/10/10,319770
2019/10/11,328746
2019/10/12,329133
2019/10/13,328131
2019/10/14,328752
2019/10/15,329592
2019/10/16,323082
2019/10/17,319308
2019/10/18,321097
2019/10/19,324389
2019/10/20,326157
2019/10/21,328005
