Date,price
2019/04/24,165.863
2019/04/25,163.279
2019/04/26,155.39
2019/04/27,157.234
2019/04/28,157.867
2019/04/29,155.706
2019/04/30,158.496
2019/05/01,161.126
2019/05/02,160.495
2019/05/03,166.24
2019/05/04,164.132
2019/05/05,162.951
2019/05/06,167.056
2019/05/07,176.628
2019/05/08,169.909
2019/05/09,170.016
2019/05/10,173.033
2019/05/11,186.763
2019/05/12,191.571
2019/05/13,194.163
2019/05/14,207.163
2019/05/15,232.69
2019/05/16,261.173
2019/05/17,238.715
2019/05/18,238.422
2019/05/19,253.243
2019/05/20,249.302
2019/05/21,253.078
2019/05/22,253.452
2019/05/23,240.892
2019/05/24,249.356
2019/05/25,251.506
2019/05/26,251.905
2019/05/27,268.569
2019/05/28,270.553
2019/05/29,269.173
2019/05/30,275.359
2019/05/31,257.521
2019/06/01,267.969
2019/06/02,268.417
2019/06/03,262.73
2019/06/04,245.069
2019/06/05,243.935
2019/06/06,244.19
2019/06/07,248.878
2019/06/08,246.72
2019/06/09,238.225
2019/06/10,239.242
2019/06/11,243.497
2019/06/12,250.785
2019/06/13,259.105
2019/06/14,256.412
2019/06/15,265.828
2019/06/16,270.861
2019/06/17,271.321
2019/06/18,267.548
2019/06/19,267.365
2019/06/20,269.114
2019/06/21,287.4
2019/06/22,306.779
2019/06/23,311.984
2019/06/24,307.699
2019/06/25,311.745
