Date,difficulty90var
2017/09/29,3.0919300079589E+29
2017/09/30,3.1135843869827E+29
2017/10/01,3.149036686166E+29
2017/10/02,3.177786468619E+29
2017/10/03,3.1926955164388E+29
2017/10/04,3.2143544335516E+29
2017/10/05,3.2435496805127E+29
2017/10/06,3.2550051953572E+29
2017/10/07,3.2500752935646E+29
2017/10/08,3.2733375465829E+29
2017/10/09,3.2952167473827E+29
2017/10/10,3.3011125615759E+29
2017/10/11,3.3205033152436E+29
2017/10/12,3.3103939400439E+29
2017/10/13,3.3210461059243E+29
2017/10/14,3.3092431832431E+29
2017/10/15,3.2904171628381E+29
2017/10/16,3.1995380390646E+29
2017/10/17,3.1637643031038E+29
2017/10/18,3.1383424194174E+29
2017/10/19,3.1117182073872E+29
2017/10/20,3.0818131525549E+29
2017/10/21,3.0553237235479E+29
2017/10/22,3.0250435903954E+29
2017/10/23,3.0032656399962E+29
2017/10/24,2.9757422925917E+29
2017/10/25,2.9482432347965E+29
2017/10/26,2.9300727968219E+29
2017/10/27,3.372096552224E+29
2017/10/28,3.814610312543E+29
2017/10/29,4.2633402043881E+29
2017/10/30,4.730562971599E+29
2017/10/31,5.1913896041945E+29
2017/11/01,5.1974695111146E+29
2017/11/02,5.2160276107885E+29
2017/11/03,5.2374166339483E+29
2017/11/04,5.2622960458189E+29
2017/11/05,5.284277490484E+29
2017/11/06,5.3086078300969E+29
2017/11/07,5.3383112544494E+29
2017/11/08,5.3608484813953E+29
2017/11/09,5.387106525527E+29
2017/11/10,5.4166025635989E+29
2017/11/11,5.444652690748E+29
2017/11/12,5.4689210217772E+29
2017/11/13,5.4974061620218E+29
2017/11/14,5.5252496103218E+29
2017/11/15,5.5580343698432E+29
2017/11/16,5.5948910651622E+29
2017/11/17,5.63361471274E+29
2017/11/18,5.6736996184202E+29
2017/11/19,5.7111990842069E+29
2017/11/20,5.7380861205239E+29
2017/11/21,5.7686070341991E+29
2017/11/22,5.7992352054936E+29
2017/11/23,5.8247268513793E+29
2017/11/24,5.8443019706503E+29
2017/11/25,5.8624199075402E+29
2017/11/26,5.8821406143752E+29
2017/11/27,5.8997441280155E+29
2017/11/28,5.917760066288E+29
2017/11/29,5.9340755060156E+29
2017/11/30,5.9460467313851E+29
2017/12/01,5.9565992814894E+29
2017/12/02,5.9627384912665E+29
2017/12/03,5.9735403466458E+29
2017/12/04,5.9819658663337E+29
2017/12/05,5.9940411950112E+29
2017/12/06,6.00404252499E+29
2017/12/07,6.0027472998139E+29
2017/12/08,5.9964279322311E+29
2017/12/09,5.9915548639673E+29
2017/12/10,5.9834743197454E+29
2017/12/11,5.9655754221828E+29
2017/12/12,5.9529240603018E+29
2017/12/13,5.9356652448103E+29
2017/12/14,5.9108912080278E+29
2017/12/15,5.8840080727416E+29
2017/12/16,5.8506992978812E+29
2017/12/17,5.8208644087281E+29
2017/12/18,5.7862868373654E+29
2017/12/19,5.7513453511998E+29
2017/12/20,5.7125284239512E+29
2017/12/21,5.568117783799E+29
2017/12/22,5.4144404238709E+29
2017/12/23,5.2609528495157E+29
2017/12/24,5.1132474378241E+29
2017/12/25,4.9697999735182E+29
2017/12/26,4.816539393864E+29
2017/12/27,4.6657737898777E+29
2017/12/28,4.5381729158258E+29
2017/12/29,4.4136810263113E+29
2017/12/30,4.2642366018914E+29
2017/12/31,4.1157637358331E+29
2018/01/01,3.9718873523214E+29
2018/01/02,3.8098622728266E+29
2018/01/03,3.6235394790405E+29
2018/01/04,3.4502596885581E+29
2018/01/05,3.2923405736518E+29
2018/01/06,3.1135389799994E+29
2018/01/07,2.93137572591E+29
2018/01/08,2.7567924856294E+29
2018/01/09,2.5548566126907E+29
2018/01/10,2.376559479012E+29
2018/01/11,2.1662241320312E+29
2018/01/12,1.9923836920457E+29
2018/01/13,1.8083449017348E+29
2018/01/14,1.8360565907212E+29
2018/01/15,1.880549254646E+29
2018/01/16,1.9248167912982E+29
2018/01/17,1.977088612643E+29
2018/01/18,2.0302631021407E+29
2018/01/19,2.0813692505864E+29
2018/01/20,2.1463684871131E+29
2018/01/21,2.2102239583669E+29
2018/01/22,2.2770921225049E+29
2018/01/23,2.3422928054644E+29
2018/01/24,2.4142652298248E+29
2018/01/25,2.1926515912195E+29
2018/01/26,1.9542952259421E+29
2018/01/27,1.6978350789267E+29
2018/01/28,1.4286125123641E+29
2018/01/29,1.1595016209389E+29
2018/01/30,1.2243795189717E+29
2018/01/31,1.287221769219E+29
2018/02/01,1.3518363195855E+29
2018/02/02,1.4199282402825E+29
2018/02/03,1.4977880767557E+29
2018/02/04,1.5695152423752E+29
2018/02/05,1.6400812501854E+29
2018/02/06,1.7104527960369E+29
2018/02/07,1.7830061407572E+29
2018/02/08,1.8484723931209E+29
2018/02/09,1.9213173625338E+29
2018/02/10,1.9858728331851E+29
2018/02/11,2.0664571658935E+29
2018/02/12,2.1390809577444E+29
2018/02/13,2.2090207735916E+29
2018/02/14,2.2654387804529E+29
2018/02/15,2.3048379261466E+29
2018/02/16,2.3563045971152E+29
2018/02/17,2.3997889956084E+29
