Date,size
2018/11/09,17469
2018/11/10,16375
2018/11/11,17094
2018/11/12,18419
2018/11/13,17702
2018/11/14,18832
2018/11/15,17646
2018/11/16,17101
2018/11/17,15503
2018/11/18,14681
2018/11/19,19002
2018/11/20,19756
2018/11/21,17952
2018/11/22,17791
2018/11/23,17659
2018/11/24,15620
2018/11/25,16512
2018/11/26,17257
2018/11/27,17909
2018/11/28,19897
2018/11/29,17814
2018/11/30,18642
2018/12/01,16262
2018/12/02,15282
2018/12/03,18022
2018/12/04,17972
2018/12/05,18963
2018/12/06,19164
2018/12/07,18403
2018/12/08,17323
2018/12/09,16875
2018/12/10,18196
2018/12/11,17723
2018/12/12,16675
2018/12/13,17641
2018/12/14,18675
2018/12/15,16796
2018/12/16,15879
2018/12/17,18889
2018/12/18,19672
2018/12/19,19629
2018/12/20,19588
2018/12/21,19662
2018/12/22,16613
2018/12/23,17293
2018/12/24,19050
2018/12/25,16454
2018/12/26,18494
2018/12/27,17564
2018/12/28,17910
2018/12/29,16917
2018/12/30,14545
2018/12/31,16503
2019/01/01,13666
2019/01/02,18126
2019/01/03,19345
2019/01/04,18872
2019/01/05,17351
2019/01/06,15855
2019/01/07,18204
2019/01/08,17916
2019/01/09,17865
2019/01/10,19150
2019/01/11,18683
2019/01/12,15918
2019/01/13,15798
2019/01/14,18452
2019/01/15,18074
2019/01/16,18008
2019/01/17,17900
2019/01/18,17751
2019/01/19,17863
2019/01/20,17832
2019/01/21,21357
2019/01/22,22711
2019/01/23,20710
2019/01/24,19842
2019/01/25,18310
2019/01/26,17422
2019/01/27,18274
2019/01/28,21577
2019/01/29,22103
2019/01/30,21568
2019/01/31,20803
2019/02/01,20373
2019/02/02,17499
2019/02/03,16597
2019/02/04,16326
2019/02/05,16601
2019/02/06,17023
2019/02/07,17432
2019/02/08,18982
2019/02/09,17138
2019/02/10,18598
2019/02/11,20700
2019/02/12,20824
2019/02/13,23368
2019/02/14,23305
2019/02/15,22751
2019/02/16,21513
2019/02/17,22199
2019/02/18,24106
2019/02/19,24581
2019/02/20,24759
2019/02/21,25217
2019/02/22,24969
2019/02/23,21843
2019/02/24,24399
2019/02/25,26690
2019/02/26,26269
2019/02/27,25340
2019/02/28,25117
2019/03/01,18943
2019/03/02,16459
2019/03/03,15337
2019/03/04,19803
2019/03/05,18740
2019/03/06,17726
2019/03/07,17116
2019/03/08,18800
2019/03/09,17549
2019/03/10,15045
2019/03/11,17059
2019/03/12,17676
2019/03/13,19134
2019/03/14,18486
2019/03/15,17922
2019/03/16,16269
2019/03/17,15331
2019/03/18,19382
2019/03/19,21169
2019/03/20,19680
2019/03/21,20227
2019/03/22,19821
2019/03/23,17356
2019/03/24,16938
2019/03/25,20021
2019/03/26,20393
2019/03/27,20194
2019/03/28,19719
2019/03/29,20950
2019/03/30,20715
2019/03/31,19955
2019/04/01,20491
2019/04/02,23063
2019/04/03,23145
2019/04/04,21792
2019/04/05,19259
2019/04/06,17014
2019/04/07,17631
2019/04/08,20225
2019/04/09,19620
2019/04/10,22604
2019/04/11,24120
2019/04/12,20341
2019/04/13,17601
2019/04/14,17002
2019/04/15,21486
2019/04/16,22688
2019/04/17,20874
2019/04/18,21212
2019/04/19,20811
2019/04/20,20168
2019/04/21,20870
2019/04/22,21123
2019/04/23,21970
2019/04/24,20009
2019/04/25,20132
2019/04/26,20021
2019/04/27,16417
2019/04/28,17957
2019/04/29,19214
2019/04/30,20890
2019/05/01,20186
2019/05/02,24056
2019/05/03,21965
2019/05/04,18463
2019/05/05,19106
2019/05/06,24830
2019/05/07,28010
2019/05/08,24559
2019/05/09,22854
2019/05/10,22895
2019/05/11,22665
2019/05/12,21533
2019/05/13,23002
2019/05/14,24210
2019/05/15,25388
2019/05/16,26549
2019/05/17,25690
2019/05/18,23032
2019/05/19,21899
2019/05/20,24951
2019/05/21,23950
2019/05/22,25634
2019/05/23,25428
2019/05/24,25641
2019/05/25,23055
2019/05/26,21835
2019/05/27,26746
2019/05/28,25652
2019/05/29,26071
2019/05/30,25711
2019/05/31,23397
2019/06/01,25187
2019/06/02,24320
2019/06/03,25335
2019/06/04,25298
2019/06/05,23410
2019/06/06,23387
2019/06/07,22693
2019/06/08,28245
2019/06/09,20388
2019/06/10,27708
2019/06/11,27089
2019/06/12,24645
2019/06/13,22168
2019/06/14,23694
2019/06/15,26219
2019/06/16,23509
2019/06/17,26723
2019/06/18,24481
2019/06/19,26790
2019/06/20,28152
2019/06/21,22975
2019/06/22,21933
2019/06/23,22344
2019/06/24,24260
2019/06/25,26961
2019/06/26,27234
2019/06/27,25364
2019/06/28,28620
2019/06/29,21175
2019/06/30,20644
2019/07/01,27639
2019/07/02,26119
2019/07/03,23075
2019/07/04,22679
2019/07/05,24935
2019/07/06,26562
2019/07/07,25644
2019/07/08,30983
2019/07/09,23460
2019/07/10,22416
2019/07/11,28000
2019/07/12,22371
2019/07/13,17767
2019/07/14,19199
2019/07/15,36630
2019/07/16,30145
2019/07/17,25513
2019/07/18,25430
2019/07/19,24035
2019/07/20,17756
2019/07/21,16274
2019/07/22,19019
2019/07/23,19176
2019/07/24,26210
2019/07/25,27842
2019/07/26,19444
2019/07/27,17755
2019/07/28,17274
2019/07/29,20135
2019/07/30,20527
2019/07/31,20452
2019/08/01,25699
2019/08/02,22452
2019/08/03,22397
2019/08/04,18037
2019/08/05,21331
2019/08/06,21464
2019/08/07,21790
2019/08/08,21149
2019/08/09,21193
2019/08/10,18119
2019/08/11,16995
2019/08/12,20175
2019/08/13,20533
2019/08/14,21869
2019/08/15,20987
2019/08/16,21163
2019/08/17,18717
2019/08/18,18467
2019/08/19,21289
2019/08/20,21154
2019/08/21,21228
2019/08/22,21494
2019/08/23,21119
2019/08/24,19992
2019/08/25,22498
2019/08/26,24261
2019/08/27,22150
2019/08/28,21543
2019/08/29,21323
2019/08/30,21067
2019/08/31,19888
2019/09/01,20134
2019/09/02,22054
2019/09/03,21631
2019/09/04,20683
2019/09/05,21712
2019/09/06,22022
2019/09/07,19515
2019/09/08,19209
2019/09/09,21393
2019/09/10,19760
2019/09/11,19801
2019/09/12,20315
2019/09/13,17954
2019/09/14,17794
2019/09/15,18290
2019/09/16,8185
2019/09/17,0
2019/09/18,0
2019/09/19,0
2019/09/20,0
2019/09/21,0
2019/09/22,0
2019/09/23,0
2019/09/24,0
2019/09/25,0
2019/09/26,0
2019/09/27,0
2019/09/28,0
2019/09/29,0
2019/09/30,0
2019/10/01,0
2019/10/02,0
2019/10/03,0
2019/10/04,0
2019/10/05,0
2019/10/06,0
2019/10/07,0
2019/10/08,0
2019/10/09,0
2019/10/10,0
2019/10/11,0
2019/10/12,0
2019/10/13,0
2019/10/14,0
2019/10/15,0
2019/10/16,0
2019/10/17,0
2019/10/18,0
2019/10/19,0
2019/10/20,0
2019/10/21,0
2019/10/22,0
2019/10/23,0
2019/10/24,0
2019/10/25,0
2019/10/26,0
2019/10/27,0
2019/10/28,0
2019/10/29,0
2019/10/30,0
2019/10/31,0
2019/11/01,0
