Date,mediantransactionvalue3momUSD
2018/05/26,-0.369
2018/05/27,-0.352
2018/05/28,0.533
2018/05/29,0
2018/05/30,0.45
2018/05/31,0.212
2018/06/01,0.231
2018/06/02,-0.45
2018/06/03,-0.751
2018/06/04,-0.158
2018/06/05,0
2018/06/06,0.184
2018/06/07,-0.072
2018/06/08,0
2018/06/09,-0.184
2018/06/10,0
2018/06/11,0.048
2018/06/12,0
2018/06/13,0
2018/06/14,0.086
2018/06/15,0.069
2018/06/16,0
2018/06/17,-0.134
2018/06/18,-0.069
2018/06/19,0
2018/06/20,0
2018/06/21,0
2018/06/22,0.059
2018/06/23,0
2018/06/24,0.05
2018/06/25,-0.036
2018/06/26,0.014
2018/06/27,-0.05
2018/06/28,0.021
2018/06/29,0.073
2018/06/30,0
2018/07/01,-0.044
2018/07/02,18.766
2018/07/03,0
2018/07/04,19.402
2018/07/05,-14.903
2018/07/06,13.189
2018/07/07,-16.583
2018/07/08,-3.818
2018/07/09,-13.189
2018/07/10,-2.818
2018/07/11,-0.133
2018/07/12,0
2018/07/13,0
2018/07/14,0.397
2018/07/15,3.752
2018/07/16,0
2018/07/17,-0.397
2018/07/18,-3.752
2018/07/19,0
2018/07/20,0.005
2018/07/21,0.005
2018/07/22,0
2018/07/23,-0.005
2018/07/24,-0.005
2018/07/25,0
2018/07/26,0
2018/07/27,0
2018/07/28,0
2018/07/29,0
2018/07/30,0
2018/07/31,0.018
2018/08/01,0
2018/08/02,0
2018/08/03,-0.018
2018/08/04,0
2018/08/05,0
2018/08/06,0
2018/08/07,2.419
2018/08/08,22.387
2018/08/09,18.013
2018/08/10,5.292
2018/08/11,-22.387
2018/08/12,-18.013
2018/08/13,-7.711
2018/08/14,0.047
2018/08/15,0
2018/08/16,0
2018/08/17,6.487
2018/08/18,0
2018/08/19,0
2018/08/20,-6.534
2018/08/21,0
2018/08/22,0
2018/08/23,0.057
2018/08/24,0.166
2018/08/25,0.074
2018/08/26,-0.016
2018/08/27,-0.166
2018/08/28,0.214
2018/08/29,0.045
2018/08/30,0.028
2018/08/31,-0.092
2018/09/01,-0.086
2018/09/02,-0.028
2018/09/03,-0.153
2018/09/04,0.316
2018/09/05,0.397
2018/09/06,1.766
2018/09/07,-0.165
2018/09/08,-0.397
2018/09/09,-1.809
2018/09/10,0.132
2018/09/11,0.128
2018/09/12,0.102
2018/09/13,0.112
2018/09/14,0.191
2018/09/15,-0.023
2018/09/16,-0.299
2018/09/17,-0.263
2018/09/18,0.125
2018/09/19,0.742
2018/09/20,0.983
2018/09/21,2.603
2018/09/22,-0.116
2018/09/23,-0.699
2018/09/24,-1.388
2018/09/25,-0.079
2018/09/26,0.305
2018/09/27,0.114
2018/09/28,0.939
2018/09/29,0.946
2018/09/30,-0.6
2018/10/01,-0.198
2018/10/02,-1.317
2018/10/03,-0.932
2018/10/04,-1.34
2018/10/05,-0.274
2018/10/06,0.002
2018/10/07,-0.03
2018/10/08,0.02
2018/10/09,-0.002
2018/10/10,0.122
2018/10/11,0.005
2018/10/12,0
2018/10/13,-0.135
2018/10/14,-0.025
2018/10/15,0.105
2018/10/16,0.036
2018/10/17,0.013
2018/10/18,-0.105
2018/10/19,-0.036
