Date,transactionfees7rocUSD
2018/10/11,-5.442
2018/10/12,34.014
2018/10/13,14.207
2018/10/14,-18.005
2018/10/15,-15.524
2018/10/16,-21.825
2018/10/17,-29.06
2018/10/18,-20.264
2018/10/19,-34.791
2018/10/20,12.307
2018/10/21,16.94
2018/10/22,-6.782
2018/10/23,15.746
2018/10/24,30.461
2018/10/25,53.975
2018/10/26,25.976
2018/10/27,2.03
2018/10/28,-1.817
2018/10/29,-2.049
2018/10/30,-8.443
2018/10/31,-21.36
2018/11/01,-33.219
2018/11/02,-8.38
2018/11/03,9.354
2018/11/04,6.006
2018/11/05,29.684
2018/11/06,33.048
2018/11/07,27.88
2018/11/08,54.958
2018/11/09,-2.209
2018/11/10,-17.644
2018/11/11,-21.43
2018/11/12,-9.007
2018/11/13,-0.408
2018/11/14,7.957
2018/11/15,-5.846
2018/11/16,10.645
2018/11/17,9.012
2018/11/18,51.486
2018/11/19,-1.203
2018/11/20,-19.71
2018/11/21,-37.811
2018/11/22,-40.864
2018/11/23,-33.845
2018/11/24,-19.414
2018/11/25,-34.114
2018/11/26,-35.017
2018/11/27,-36.857
2018/11/28,-0.343
2018/11/29,34.084
2018/11/30,47.833
2018/12/01,14.108
2018/12/02,11.098
2018/12/03,16.044
2018/12/04,30.228
2018/12/05,-3.474
2018/12/06,-46.122
2018/12/07,-56.084
2018/12/08,-55.285
2018/12/09,-48.583
2018/12/10,-44.95
2018/12/11,-45.899
2018/12/12,-46.69
2018/12/13,-18.682
2018/12/14,18.242
2018/12/15,-10.599
2018/12/16,-17.551
2018/12/17,-7.738
2018/12/18,75.938
2018/12/19,25.481
2018/12/20,16.325
2018/12/21,-10.223
2018/12/22,41.817
2018/12/23,66.212
2018/12/24,69.422
2018/12/25,-6.091
2018/12/26,51.883
2018/12/27,-4.206
2018/12/28,-1.387
2018/12/29,11.466
2018/12/30,96.133
2018/12/31,-17.318
2019/01/01,-13.778
2019/01/02,-26.469
2019/01/03,8.24
2019/01/04,26.977
2019/01/05,87.404
2019/01/06,-43.631
2019/01/07,8.339
2019/01/08,-7.198
2019/01/09,-7.178
2019/01/10,2.443
2019/01/11,-22.361
2019/01/12,-55.092
2019/01/13,-29.508
2019/01/14,13.601
2019/01/15,16.651
2019/01/16,28.102
2019/01/17,-9.306
2019/01/18,7.174
2019/01/19,9.792
2019/01/20,2.624
2019/01/21,-33.325
2019/01/22,-5.076
2019/01/23,-26.832
2019/01/24,2.544
2019/01/25,-10.21
2019/01/26,-9.75
2019/01/27,-8.293
2019/01/28,-2.153
2019/01/29,-35.429
2019/01/30,-11.237
2019/01/31,2.318
2019/02/01,2.247
2019/02/02,-0.19
2019/02/03,1.745
2019/02/04,-1.939
2019/02/05,13.731
2019/02/06,0.828
2019/02/07,-9.407
2019/02/08,-0.216
2019/02/09,21.994
2019/02/10,31.847
2019/02/11,32.072
2019/02/12,25.564
2019/02/13,30.112
2019/02/14,37.665
2019/02/15,38.862
2019/02/16,16.834
2019/02/17,18.433
2019/02/18,49.534
2019/02/19,1315
2019/02/20,43.318
2019/02/21,18.351
2019/02/22,11.59
2019/02/23,25.373
2019/02/24,31.426
2019/02/25,-6.67
2019/02/26,-89.491
2019/02/27,-5.164
2019/02/28,14.429
2019/03/01,-17.401
2019/03/02,-25.652
2019/03/03,-32.531
2019/03/04,-30.658
2019/03/05,-27.349
2019/03/06,-18.708
2019/03/07,-28.138
2019/03/08,0.798
2019/03/09,-2.071
2019/03/10,-1.529
2019/03/11,-0.597
2019/03/12,-10.753
2019/03/13,-18.547
2019/03/14,-24.902
2019/03/15,-17.928
2019/03/16,-14.011
2019/03/17,-0.993
2019/03/18,614.047
2019/03/19,11.605
2019/03/20,7.015
2019/03/21,69.438
2019/03/22,23.561
2019/03/23,11.244
2019/03/24,-1.275
2019/03/25,-85.348
2019/03/26,3.32
2019/03/27,28.896
2019/03/28,-24.875
2019/03/29,7.003
2019/03/30,-3.683
2019/03/31,-0.602
2019/04/01,10.895
2019/04/02,17.219
2019/04/03,37.137
2019/04/04,27.023
2019/04/05,-3.634
2019/04/06,24.11
2019/04/07,21.118
2019/04/08,19.744
2019/04/09,-5.999
2019/04/10,-4.72
2019/04/11,-11.296
2019/04/12,-7.415
2019/04/13,-12.758
2019/04/14,-11.112
2019/04/15,-22.482
2019/04/16,-3.957
2019/04/17,-26.884
2019/04/18,4.406
2019/04/19,-2.943
2019/04/20,-16.969
2019/04/21,-9.161
