Date,size90wma
2019/03/12,19849
2019/03/13,19848
2019/03/14,19831
2019/03/15,19802
2019/03/16,19737
2019/03/17,19651
2019/03/18,19654
2019/03/19,19697
2019/03/20,19707
2019/03/21,19729
2019/03/22,19742
2019/03/23,19700
2019/03/24,19649
2019/03/25,19666
2019/03/26,19690
2019/03/27,19710
2019/03/28,19718
2019/03/29,19753
2019/03/30,19782
2019/03/31,19793
2019/04/01,19814
2019/04/02,19891
2019/04/03,19968
2019/04/04,20014
2019/04/05,20004
2019/04/06,19945
2019/04/07,19898
2019/04/08,19909
2019/04/09,19905
2019/04/10,19967
2019/04/11,20062
2019/04/12,20072
2019/04/13,20020
2019/04/14,19956
2019/04/15,19990
2019/04/16,20049
2019/04/17,20068
2019/04/18,20093
2019/04/19,20109
2019/04/20,20109
2019/04/21,20125
2019/04/22,20146
2019/04/23,20187
2019/04/24,20184
2019/04/25,20183
2019/04/26,20180
2019/04/27,20097
2019/04/28,20048
2019/04/29,20028
2019/04/30,20045
2019/05/01,20047
2019/05/02,20134
2019/05/03,20174
2019/05/04,20136
2019/05/05,20112
2019/05/06,20213
2019/05/07,20382
2019/05/08,20472
2019/05/09,20523
2019/05/10,20574
2019/05/11,20619
2019/05/12,20638
2019/05/13,20689
2019/05/14,20765
2019/05/15,20868
2019/05/16,20996
2019/05/17,21103
2019/05/18,21152
2019/05/19,21175
2019/05/20,21266
2019/05/21,21334
2019/05/22,21440
2019/05/23,21541
2019/05/24,21647
2019/05/25,21695
2019/05/26,21717
2019/05/27,21848
2019/05/28,21954
2019/05/29,22070
2019/05/30,22178
2019/05/31,22233
2019/06/01,22325
2019/06/02,22397
2019/06/03,22489
2019/06/04,22579
2019/06/05,22626
2019/06/06,22670
2019/06/07,22699
2019/06/08,22848
2019/06/09,22821
2019/06/10,22954
2019/06/11,23071
2019/06/12,23133
2019/06/13,23138
2019/06/14,23176
2019/06/15,23268
2019/06/16,23297
2019/06/17,23397
2019/06/18,23445
2019/06/19,23543
2019/06/20,23669
