Date,difficulty14rsi
2019/05/05,61.394
2019/05/06,53.351
2019/05/07,57.448
2019/05/08,55.12
2019/05/09,55.176
2019/05/10,53.519
2019/05/11,57.661
2019/05/12,60.85
2019/05/13,59.353
2019/05/14,65.313
2019/05/15,67.943
2019/05/16,68.058
2019/05/17,76.382
2019/05/18,79.474
2019/05/19,69.585
2019/05/20,65.669
2019/05/21,59.633
2019/05/22,60.117
2019/05/23,57.929
2019/05/24,50.947
2019/05/25,52.235
2019/05/26,52.041
2019/05/27,61.042
2019/05/28,53.857
2019/05/29,62.22
2019/05/30,64.446
2019/05/31,58.163
2019/06/01,59.342
2019/06/02,62.939
2019/06/03,51.725
2019/06/04,52.6
2019/06/05,47.323
2019/06/06,55.055
2019/06/07,56.702
2019/06/08,50.815
2019/06/09,46.986
2019/06/10,47.616
2019/06/11,48.219
2019/06/12,47.488
2019/06/13,44.199
2019/06/14,44.94
2019/06/15,45.737
2019/06/16,45.119
2019/06/17,48.009
2019/06/18,48.736
2019/06/19,52.349
