Date,size3rsi
2019/05/03,56.099
2019/05/04,30.695
2019/05/05,38.375
2019/05/06,75.158
2019/05/07,83.409
2019/05/08,54.136
2019/05/09,42.967
2019/05/10,43.379
2019/05/11,40.841
2019/05/12,28.517
2019/05/13,54.975
2019/05/14,69.089
2019/05/15,78.804
2019/05/16,85.53
2019/05/17,63.247
2019/05/18,28.638
2019/05/19,21.218
2019/05/20,61.518
2019/05/21,49.146
2019/05/22,66.266
2019/05/23,62.422
2019/05/24,65.524
2019/05/25,26.128
2019/05/26,18.33
2019/05/27,70.857
2019/05/28,58.322
2019/05/29,62.164
2019/05/30,55.56
2019/05/31,27.442
2019/06/01,54.289
2019/06/02,42.792
2019/06/03,58.298
2019/06/04,57.446
2019/06/05,27.119
2019/06/06,26.863
2019/06/07,18.749
2019/06/08,82.422
2019/06/09,30.946
2019/06/10,63.129
2019/06/11,59.603
2019/06/12,44.795
2019/06/13,32.514
2019/06/14,46.16
2019/06/15,64.146
2019/06/16,41.714
2019/06/17,64.065
2019/06/18,45.716
2019/06/19,62.372
2019/06/20,70.403
