Date,difficulty3roc
2018/05/03,-0.992
2018/05/04,2.852
2018/05/05,4.206
2018/05/06,3.393
2018/05/07,3.902
2018/05/08,3.127
2018/05/09,-0.109
2018/05/10,-1.443
2018/05/11,-1.745
2018/05/12,3.018
2018/05/13,3.575
2018/05/14,1.125
2018/05/15,-3.102
2018/05/16,-3.258
2018/05/17,-1.241
2018/05/18,-0.797
2018/05/19,-1.1
2018/05/20,0.824
2018/05/21,3.247
2018/05/22,2.248
2018/05/23,-1.687
2018/05/24,-3.534
2018/05/25,-3.62
2018/05/26,0.029
2018/05/27,-0.264
2018/05/28,0.918
2018/05/29,-1.051
2018/05/30,-1.177
2018/05/31,0.523
2018/06/01,-2.091
2018/06/02,0.531
2018/06/03,-1.438
2018/06/04,0.238
2018/06/05,1.212
2018/06/06,-1.224
2018/06/07,0.081
2018/06/08,-1.113
2018/06/09,4.429
2018/06/10,2.86
2018/06/11,1.222
2018/06/12,0.894
2018/06/13,0.536
2018/06/14,1.266
2018/06/15,-2.28
2018/06/16,0.725
2018/06/17,0.561
2018/06/18,4.297
2018/06/19,4.304
2018/06/20,2.441
2018/06/21,1.752
2018/06/22,-0.18
2018/06/23,0.555
2018/06/24,-0.049
2018/06/25,-0.938
2018/06/26,-0.932
2018/06/27,0.92
2018/06/28,0.289
2018/06/29,0.479
2018/06/30,-0.475
2018/07/01,-1.321
2018/07/02,0.39
2018/07/03,-0.408
2018/07/04,2.239
2018/07/05,4.961
2018/07/06,1.62
2018/07/07,2.579
2018/07/08,-3.024
2018/07/09,0.549
2018/07/10,-0.747
2018/07/11,-2.771
2018/07/12,-2.526
2018/07/13,-1.51
2018/07/14,2.01
2018/07/15,-0.578
2018/07/16,-0.02
2018/07/17,0.769
2018/07/18,1.645
2018/07/19,-0.34
2018/07/20,-0.666
2018/07/21,-6.956
2018/07/22,-2.566
2018/07/23,2.57
2018/07/24,5.855
2018/07/25,3.882
2018/07/26,0.374
2018/07/27,2.253
2018/07/28,1.995
2018/07/29,0.803
2018/07/30,1.707
2018/07/31,-0.428
2018/08/01,-1.186
2018/08/02,-0.248
2018/08/03,-1.485
2018/08/04,1.434
2018/08/05,0.381
2018/08/06,3.393
2018/08/07,0.019
2018/08/08,0.661
2018/08/09,0.298
2018/08/10,0.449
2018/08/11,-1.042
2018/08/12,-3.192
2018/08/13,-2.288
2018/08/14,-0.239
2018/08/15,0.457
2018/08/16,-1.821
2018/08/17,-1.756
2018/08/18,-1.861
2018/08/19,0.937
2018/08/20,0.336
2018/08/21,2.163
2018/08/22,3.607
2018/08/23,-1.224
2018/08/24,-2.413
2018/08/25,-2.601
2018/08/26,3.411
2018/08/27,1.871
2018/08/28,-0.267
2018/08/29,-3.183
2018/08/30,-1.806
2018/08/31,-0.724
2018/09/01,-0.835
2018/09/02,-1.351
2018/09/03,-1.712
2018/09/04,-0.947
2018/09/05,1.464
2018/09/06,-0.198
2018/09/07,0.144
2018/09/08,-1.734
2018/09/09,-5.594
2018/09/10,-5.256
2018/09/11,-5.29
2018/09/12,-2.384
2018/09/13,-5.31
2018/09/14,-1.708
2018/09/15,0.434
2018/09/16,2.608
2018/09/17,-0.085
2018/09/18,1.024
2018/09/19,1.315
2018/09/20,1.161
2018/09/21,-2.101
2018/09/22,3.388
2018/09/23,2.28
2018/09/24,4.903
2018/09/25,-1.694
2018/09/26,1.068
2018/09/27,0.37
2018/09/28,1.958
2018/09/29,-0.545
2018/09/30,-0.507
2018/10/01,-1.369
2018/10/02,-1.649
2018/10/03,-1.045
2018/10/04,0.651
2018/10/05,2.026
2018/10/06,0.822
2018/10/07,0.415
2018/10/08,1.056
2018/10/09,1.13
2018/10/10,0.599
2018/10/11,-2.775
2018/10/12,-1.585
2018/10/13,-2.989
2018/10/14,0.033
2018/10/15,-0.672
2018/10/16,0.287
2018/10/17,-0.96
2018/10/18,0.688
2018/10/19,0.25
2018/10/20,-1.023
2018/10/21,-3.375
2018/10/22,-3.08
2018/10/23,-1.816
2018/10/24,0.608
2018/10/25,0.245
2018/10/26,-1.132
2018/10/27,-0.622
2018/10/28,-0.824
2018/10/29,-0.423
2018/10/30,-0.904
2018/10/31,0.385
2018/11/01,0.32
2018/11/02,-3.065
2018/11/03,-3.462
2018/11/04,-0.918
2018/11/05,-0.503
2018/11/06,0.42
2018/11/07,-1.014
2018/11/08,2.436
2018/11/09,-0.341
2018/11/10,-0.114
2018/11/11,0.659
2018/11/12,0.157
2018/11/13,1.108
2018/11/14,-0.636
2018/11/15,2.06
2018/11/16,1.863
2018/11/17,-1.594
2018/11/18,-2.541
2018/11/19,-3.001
2018/11/20,-2.941
2018/11/21,-6.755
2018/11/22,-7.996
2018/11/23,-5.495
2018/11/24,-1.171
2018/11/25,-1.803
2018/11/26,-2.528
2018/11/27,-8.733
2018/11/28,-11.349
2018/11/29,-10.228
2018/11/30,-3.602
2018/12/01,4.706
2018/12/02,0.263
2018/12/03,-0.158
2018/12/04,-1.827
2018/12/05,-1.086
2018/12/06,0.897
2018/12/07,-4.309
2018/12/08,-3.749
2018/12/09,-6.322
2018/12/10,-0.039
2018/12/11,1.793
2018/12/12,-1.352
2018/12/13,-5.957
2018/12/14,-5.701
2018/12/15,-1.585
2018/12/16,0.161
2018/12/17,1.122
2018/12/18,-0.106
2018/12/19,1.435
2018/12/20,-0.003
2018/12/21,1.956
2018/12/22,0.573
2018/12/23,2.659
2018/12/24,5.424
2018/12/25,8.337
2018/12/26,9.801
2018/12/27,4.728
2018/12/28,-0.185
2018/12/29,-3.476
2018/12/30,-0.235
2018/12/31,2.134
2019/01/01,-1.657
2019/01/02,-2.756
2019/01/03,3.474
2019/01/04,8.085
2019/01/05,8.784
2019/01/06,4.059
2019/01/07,4.222
2019/01/08,1.187
2019/01/09,0.279
2019/01/10,-1.007
2019/01/11,0.877
2019/01/12,-2.925
2019/01/13,-2.476
2019/01/14,-2.18
2019/01/15,2.944
2019/01/16,0.495
2019/01/17,-1.994
2019/01/18,-4.827
2019/01/19,0.611
2019/01/20,3.593
2019/01/21,10.467
2019/01/22,9.165
2019/01/23,2.965
2019/01/24,-1.258
2019/01/25,-2.301
2019/01/26,-0.134
2019/01/27,-2.339
2019/01/28,-7.369
2019/01/29,-11.108
2019/01/30,-12.227
2019/01/31,-5.355
2019/02/01,-1.462
2019/02/02,-1.898
2019/02/03,-4.508
2019/02/04,-1.915
2019/02/05,0.216
2019/02/06,-0.245
2019/02/07,-1.178
2019/02/08,0.326
2019/02/09,0.905
2019/02/10,19.946
2019/02/11,17.655
2019/02/12,20.059
2019/02/13,0.502
2019/02/14,-0.952
2019/02/15,-3.055
2019/02/16,-0.789
2019/02/17,0.843
2019/02/18,1.522
2019/02/19,5.009
2019/02/20,5.279
2019/02/21,4.836
2019/02/22,-0.728
2019/02/23,2.907
2019/02/24,2.555
2019/02/25,1.928
2019/02/26,-1.371
2019/02/27,-1.202
2019/02/28,-1.303
2019/03/01,-31.628
2019/03/02,-35.349
2019/03/03,-34.788
2019/03/04,-7.317
2019/03/05,-1.084
2019/03/06,0.137
2019/03/07,0.913
2019/03/08,1.419
2019/03/09,-1.49
2019/03/10,-1.064
2019/03/11,-2.386
