Date,transactions3std
2019/02/23,59191
2019/02/24,56424
2019/02/25,80915
2019/02/26,27548
2019/02/27,28073
2019/02/28,12768
2019/03/01,6911
2019/03/02,17365
2019/03/03,45571
2019/03/04,107986
2019/03/05,111561
2019/03/06,33733
2019/03/07,21613
2019/03/08,13666
2019/03/09,13890
2019/03/10,70959
2019/03/11,60631
2019/03/12,66547
2019/03/13,31397
2019/03/14,8731
2019/03/15,19373
2019/03/16,58378
2019/03/17,50996
2019/03/18,70567
2019/03/19,115462
2019/03/20,55990
2019/03/21,14698
2019/03/22,10631
2019/03/23,58815
2019/03/24,69858
2019/03/25,88522
2019/03/26,86142
2019/03/27,20135
2019/03/28,6959
2019/03/29,11817
2019/03/30,29268
2019/03/31,23755
2019/04/01,33772
2019/04/02,93074
2019/04/03,62265
2019/04/04,75373
2019/04/05,102304
2019/04/06,93625
2019/04/07,53959
2019/04/08,96864
2019/04/09,84917
2019/04/10,14240
2019/04/11,61547
2019/04/12,45329
2019/04/13,96186
2019/04/14,117625
2019/04/15,63598
2019/04/16,87776
2019/04/17,49040
2019/04/18,33939
2019/04/19,13259
2019/04/20,8884
2019/04/21,55692
2019/04/22,72770
2019/04/23,88149
2019/04/24,52833
2019/04/25,52204
2019/04/26,16451
2019/04/27,103230
2019/04/28,81921
2019/04/29,54181
2019/04/30,95520
2019/05/01,72473
2019/05/02,74998
2019/05/03,63502
2019/05/04,43463
2019/05/05,39831
2019/05/06,72294
2019/05/07,57550
2019/05/08,39538
2019/05/09,49327
2019/05/10,41102
2019/05/11,20416
2019/05/12,22824
2019/05/13,35210
2019/05/14,94730
2019/05/15,77218
2019/05/16,66615
2019/05/17,80677
2019/05/18,141496
2019/05/19,64120
2019/05/20,110465
2019/05/21,88175
2019/05/22,52019
2019/05/23,49586
2019/05/24,46850
2019/05/25,57514
2019/05/26,115253
2019/05/27,146331
2019/05/28,155812
2019/05/29,32481
2019/05/30,46215
2019/05/31,64792
2019/06/01,73225
2019/06/02,73499
2019/06/03,62970
2019/06/04,2386
2019/06/05,85940
2019/06/06,78094
2019/06/07,54676
2019/06/08,197115
2019/06/09,243451
2019/06/10,248551
