Date,sentbyaddress30std
2019/08/15,45858
2019/08/16,46262
2019/08/17,46678
2019/08/18,46845
2019/08/19,46491
2019/08/20,44941
2019/08/21,45302
2019/08/22,44614
2019/08/23,43299
2019/08/24,41682
2019/08/25,41596
2019/08/26,41339
2019/08/27,40372
2019/08/28,40106
2019/08/29,39201
2019/08/30,38800
2019/08/31,37377
2019/09/01,37817
2019/09/02,34504
2019/09/03,32182
2019/09/04,31625
2019/09/05,31746
2019/09/06,32447
2019/09/07,32485
2019/09/08,32415
2019/09/09,33350
2019/09/10,31365
2019/09/11,29593
2019/09/12,29739
2019/09/13,30481
2019/09/14,30407
2019/09/15,30558
2019/09/16,28806
2019/09/17,26008
2019/09/18,26054
2019/09/19,26027
2019/09/20,26212
2019/09/21,30030
2019/09/22,34960
2019/09/23,38107
2019/09/24,38168
2019/09/25,39231
2019/09/26,39739
2019/09/27,40675
2019/09/28,41863
2019/09/29,45269
2019/09/30,45414
2019/10/01,45263
2019/10/02,44336
2019/10/03,45398
2019/10/04,46540
2019/10/05,44669
2019/10/06,44089
2019/10/07,44139
2019/10/08,43961
2019/10/09,42463
2019/10/10,42404
2019/10/11,42203
2019/10/12,40925
2019/10/13,41988
2019/10/14,41946
