Date,sentbyaddress7sma
2018/12/15,152777
2018/12/16,153935
2018/12/17,153647
2018/12/18,153378
2018/12/19,155441
2018/12/20,158130
2018/12/21,159561
2018/12/22,154846
2018/12/23,153177
2018/12/24,153836
2018/12/25,154842
2018/12/26,154019
2018/12/27,153690
2018/12/28,154492
2018/12/29,160796
2018/12/30,159395
2018/12/31,158540
2019/01/01,156329
2019/01/02,157081
2019/01/03,159782
2019/01/04,158740
2019/01/05,155005
2019/01/06,156560
2019/01/07,158265
2019/01/08,163464
2019/01/09,163915
2019/01/10,161197
2019/01/11,162044
2019/01/12,158543
2019/01/13,155314
2019/01/14,159309
2019/01/15,159372
2019/01/16,155808
2019/01/17,152999
2019/01/18,150692
2019/01/19,152950
2019/01/20,153585
2019/01/21,146156
2019/01/22,140994
2019/01/23,141500
2019/01/24,141570
2019/01/25,141447
2019/01/26,139401
2019/01/27,140445
2019/01/28,143245
2019/01/29,145573
2019/01/30,144414
2019/01/31,143993
2019/02/01,142757
2019/02/02,141758
2019/02/03,137105
2019/02/04,128360
2019/02/05,121520
2019/02/06,116548
2019/02/07,111162
2019/02/08,109219
2019/02/09,107888
2019/02/10,106626
2019/02/11,108841
2019/02/12,110559
2019/02/13,113256
2019/02/14,116355
2019/02/15,117033
2019/02/16,118794
2019/02/17,121467
2019/02/18,126651
2019/02/19,130568
2019/02/20,132408
2019/02/21,132511
2019/02/22,133121
2019/02/23,134177
2019/02/24,136711
2019/02/25,133633
2019/02/26,132942
2019/02/27,134463
2019/02/28,136019
2019/03/01,139533
2019/03/02,141560
2019/03/03,140763
2019/03/04,143411
2019/03/05,146148
2019/03/06,147591
2019/03/07,149991
2019/03/08,149356
2019/03/09,151577
2019/03/10,150917
2019/03/11,149201
2019/03/12,148850
2019/03/13,147940
2019/03/14,147337
2019/03/15,146911
2019/03/16,142679
2019/03/17,143747
2019/03/18,147118
2019/03/19,148971
2019/03/20,151481
2019/03/21,151864
2019/03/22,153068
2019/03/23,156093
2019/03/24,157867
2019/03/25,161441
2019/03/26,162990
2019/03/27,162893
2019/03/28,165468
2019/03/29,167440
2019/03/30,169718
2019/03/31,171675
2019/04/01,173668
2019/04/02,181576
2019/04/03,188723
2019/04/04,191733
2019/04/05,193619
2019/04/06,192890
2019/04/07,194287
2019/04/08,193056
2019/04/09,187530
2019/04/10,181842
2019/04/11,185256
2019/04/12,192103
2019/04/13,196001
2019/04/14,192429
2019/04/15,190200
2019/04/16,186620
2019/04/17,186662
2019/04/18,182731
2019/04/19,179032
2019/04/20,190709
2019/04/21,199205
2019/04/22,202417
2019/04/23,209034
2019/04/24,211967
2019/04/25,211996
2019/04/26,208062
2019/04/27,191833
2019/04/28,185193
2019/04/29,181016
2019/04/30,177599
2019/05/01,177313
2019/05/02,172986
2019/05/03,172097
2019/05/04,172419
2019/05/05,173846
2019/05/06,174751
2019/05/07,171919
2019/05/08,169204
2019/05/09,173517
2019/05/10,176570
2019/05/11,182181
2019/05/12,185362
2019/05/13,190535
2019/05/14,199621
2019/05/15,209402
2019/05/16,220032
2019/05/17,225528
2019/05/18,227570
2019/05/19,230098
2019/05/20,231559
2019/05/21,231714
2019/05/22,228055
2019/05/23,222507
2019/05/24,222716
2019/05/25,223664
2019/05/26,224450
2019/05/27,229252
2019/05/28,229277
2019/05/29,232748
2019/05/30,235495
2019/05/31,239786
2019/06/01,256725
2019/06/02,263387
2019/06/03,260732
2019/06/04,261621
2019/06/05,258197
2019/06/06,264172
2019/06/07,254287
2019/06/08,232961
2019/06/09,230277
2019/06/10,227588
2019/06/11,233306
2019/06/12,255904
2019/06/13,250934
2019/06/14,257400
2019/06/15,264015
2019/06/16,278906
2019/06/17,278983
2019/06/18,271400
2019/06/19,249386
2019/06/20,243221
2019/06/21,246442
2019/06/22,249289
2019/06/23,233232
2019/06/24,236486
2019/06/25,237964
2019/06/26,245477
2019/06/27,250187
2019/06/28,243882
2019/06/29,238151
2019/06/30,231875
2019/07/01,227655
2019/07/02,232491
2019/07/03,228911
2019/07/04,229298
2019/07/05,229885
2019/07/06,228691
2019/07/07,227140
2019/07/08,228661
2019/07/09,223942
2019/07/10,219930
2019/07/11,214386
2019/07/12,214821
2019/07/13,210704
2019/07/14,211484
2019/07/15,211509
2019/07/16,200721
2019/07/17,199014
2019/07/18,198679
2019/07/19,196059
2019/07/20,195995
2019/07/21,192678
2019/07/22,187291
2019/07/23,188409
2019/07/24,181473
2019/07/25,177083
2019/07/26,175000
2019/07/27,176223
2019/07/28,178621
2019/07/29,179816
2019/07/30,187849
2019/07/31,191901
2019/08/01,192581
2019/08/02,193798
2019/08/03,190716
2019/08/04,190619
2019/08/05,195800
2019/08/06,197069
2019/08/07,199495
2019/08/08,204728
2019/08/09,207438
2019/08/10,213766
2019/08/11,214759
2019/08/12,216353
2019/08/13,212063
2019/08/14,213594
2019/08/15,210972
2019/08/16,210762
2019/08/17,206871
2019/08/18,206534
2019/08/19,202048
2019/08/20,203208
2019/08/21,203192
2019/08/22,205799
2019/08/23,206748
2019/08/24,210495
2019/08/25,212949
2019/08/26,214693
2019/08/27,215646
2019/08/28,214532
2019/08/29,214763
2019/08/30,212016
2019/08/31,210420
2019/09/01,209659
2019/09/02,210759
2019/09/03,210456
2019/09/04,211710
2019/09/05,215597
2019/09/06,218938
2019/09/07,220922
2019/09/08,222814
2019/09/09,223423
2019/09/10,221567
2019/09/11,220718
2019/09/12,217791
2019/09/13,212392
2019/09/14,210630
2019/09/15,210003
2019/09/16,209456
2019/09/17,210698
2019/09/18,211549
2019/09/19,210963
2019/09/20,215524
2019/09/21,212463
2019/09/22,206949
2019/09/23,198156
2019/09/24,194793
2019/09/25,189193
2019/09/26,184432
2019/09/27,178436
2019/09/28,178912
2019/09/29,178278
2019/09/30,181252
2019/10/01,181442
2019/10/02,183007
2019/10/03,180611
2019/10/04,177995
2019/10/05,177155
2019/10/06,178396
2019/10/07,176756
2019/10/08,175570
2019/10/09,179558
2019/10/10,185600
2019/10/11,192377
2019/10/12,193851
2019/10/13,193644
2019/10/14,194844
2019/10/15,195689
2019/10/16,191323
2019/10/17,188399
2019/10/18,187906
