Date,transactionvalue90stdUSD
2019/01/19,907.905
2019/01/20,909.842
2019/01/21,912.325
2019/01/22,914.967
2019/01/23,915.984
2019/01/24,916.494
2019/01/25,915.898
2019/01/26,917.182
2019/01/27,918.606
2019/01/28,918.231
2019/01/29,919.626
2019/01/30,920.389
2019/01/31,921.242
2019/02/01,921.44
2019/02/02,924.93
2019/02/03,927.006
2019/02/04,930.897
2019/02/05,934.192
2019/02/06,935.487
2019/02/07,937.636
2019/02/08,937.481
2019/02/09,938.962
2019/02/10,939.864
2019/02/11,940.147
2019/02/12,938.062
2019/02/13,935.712
2019/02/14,936.512
2019/02/15,937.124
2019/02/16,939.714
2019/02/17,930.891
2019/02/18,921.965
2019/02/19,920.703
2019/02/20,920.702
2019/02/21,920.647
2019/02/22,920.604
2019/02/23,919.82
2019/02/24,920.741
2019/02/25,922.64
2019/02/26,923.145
2019/02/27,922.871
2019/02/28,717.129
2019/03/01,384.829
2019/03/02,383.979
2019/03/03,384.046
2019/03/04,383.504
2019/03/05,383.532
2019/03/06,383.005
2019/03/07,380.582
2019/03/08,380.135
2019/03/09,380.014
2019/03/10,379.296
2019/03/11,378.788
2019/03/12,377.436
2019/03/13,377.42
2019/03/14,376.288
2019/03/15,371.862
2019/03/16,367.938
2019/03/17,368.184
2019/03/18,368.481
2019/03/19,367.19
2019/03/20,363.888
2019/03/21,358.365
2019/03/22,358.636
2019/03/23,357.375
2019/03/24,348.151
2019/03/25,348.226
2019/03/26,348.134
2019/03/27,347.523
2019/03/28,346.808
2019/03/29,334.788
2019/03/30,334.646
2019/03/31,334.873
2019/04/01,334.876
2019/04/02,338.941
2019/04/03,349.141
2019/04/04,332.628
2019/04/05,292.943
2019/04/06,288.531
2019/04/07,287.633
2019/04/08,305.07
2019/04/09,314.635
2019/04/10,315.137
2019/04/11,306.232
2019/04/12,305.527
2019/04/13,306.062
2019/04/14,303.168
2019/04/15,304.664
2019/04/16,303.825
2019/04/17,303.804
2019/04/18,303.542
2019/04/19,300.706
2019/04/20,299.352
2019/04/21,297.236
2019/04/22,294.806
2019/04/23,294.917
2019/04/24,302.452
2019/04/25,304.959
2019/04/26,319.523
2019/04/27,318.553
2019/04/28,318.635
2019/04/29,320.114
2019/04/30,320.004
2019/05/01,319.686
2019/05/02,318.161
2019/05/03,312.844
2019/05/04,308.815
2019/05/05,302.443
2019/05/06,295.817
2019/05/07,301.703
2019/05/08,300.051
2019/05/09,299.892
2019/05/10,295.024
2019/05/11,313.955
2019/05/12,315.5
2019/05/13,324.292
2019/05/14,327.082
2019/05/15,346.853
2019/05/16,451.676
2019/05/17,469.443
2019/05/18,468.461
2019/05/19,468.062
