Date,activeaddresses3ema
2019/02/19,277488
2019/02/20,271492
2019/02/21,262310
2019/02/22,261089
2019/02/23,253812
2019/02/24,260164
2019/02/25,267094
2019/02/26,271085
2019/02/27,274440
2019/02/28,278940
2019/03/01,284155
2019/03/02,277177
2019/03/03,263032
2019/03/04,280172
2019/03/05,290762
2019/03/06,295345
2019/03/07,294543
2019/03/08,295774
2019/03/09,294464
2019/03/10,271703
2019/03/11,273805
2019/03/12,287202
2019/03/13,291164
2019/03/14,295183
2019/03/15,290912
2019/03/16,274193
2019/03/17,272450
2019/03/18,291217
2019/03/19,305914
2019/03/20,319030
2019/03/21,313478
2019/03/22,314006
2019/03/23,300126
2019/03/24,294689
2019/03/25,323875
2019/03/26,334885
2019/03/27,334505
2019/03/28,339684
2019/03/29,338394
2019/03/30,336889
2019/03/31,322789
2019/04/01,359487
2019/04/02,393729
2019/04/03,401494
2019/04/04,379766
2019/04/05,360724
2019/04/06,333985
2019/04/07,330676
2019/04/08,352399
2019/04/09,360344
2019/04/10,356142
2019/04/11,376249
2019/04/12,385212
2019/04/13,361120
2019/04/14,324743
2019/04/15,336407
2019/04/16,343019
2019/04/17,347805
2019/04/18,353050
2019/04/19,369364
2019/04/20,398929
2019/04/21,390228
2019/04/22,397097
2019/04/23,402149
2019/04/24,388274
2019/04/25,374464
2019/04/26,365934
2019/04/27,331480
2019/04/28,320592
2019/04/29,328633
2019/04/30,348294
2019/05/01,365446
2019/05/02,343267
2019/05/03,341147
2019/05/04,326780
2019/05/05,324919
2019/05/06,340417
2019/05/07,345425
2019/05/08,354532
2019/05/09,361967
2019/05/10,376057
2019/05/11,377997
2019/05/12,370498
2019/05/13,394068
2019/05/14,424652
2019/05/15,450334
2019/05/16,477350
2019/05/17,461889
2019/05/18,429998
2019/05/19,408911
2019/05/20,417479
2019/05/21,440518
2019/05/22,437515
2019/05/23,439778
2019/05/24,450058
2019/05/25,441972
2019/05/26,422170
2019/05/27,461908
2019/05/28,476768
2019/05/29,499028
2019/05/30,486705
2019/05/31,491403
2019/06/01,554007
2019/06/02,543754
2019/06/03,516517
2019/06/04,484128
2019/06/05,446444
2019/06/06,467356
2019/06/07,420540
2019/06/08,385125
2019/06/09,400396
2019/06/10,394643
2019/06/11,426841
2019/06/12,494935
2019/06/13,472501
2019/06/14,455757
2019/06/15,461865
2019/06/16,519517
2019/06/17,469562
2019/06/18,463295
2019/06/19,442071
2019/06/20,416161
2019/06/21,436763
2019/06/22,441947
2019/06/23,423344
2019/06/24,432081
2019/06/25,432485
2019/06/26,461665
2019/06/27,455953
2019/06/28,433147
2019/06/29,412463
2019/06/30,383689
2019/07/01,387756
2019/07/02,418080
2019/07/03,426238
2019/07/04,420914
2019/07/05,403120
2019/07/06,376120
2019/07/07,349399
2019/07/08,369451
2019/07/09,396054
2019/07/10,397096
2019/07/11,382624
2019/07/12,390083
2019/07/13,351822
2019/07/14,343899
2019/07/15,373241
2019/07/16,347470
2019/07/17,366787
2019/07/18,363760
2019/07/19,359375
2019/07/20,337029
2019/07/21,311882
2019/07/22,336963
2019/07/23,332378
2019/07/24,318699
2019/07/25,314617
2019/07/26,329703
2019/07/27,327351
2019/07/28,323287
2019/07/29,335389
2019/07/30,364934
2019/07/31,355270
2019/08/01,341364
2019/08/02,347373
2019/08/03,321951
2019/08/04,288188
2019/08/05,344939
2019/08/06,378315
2019/08/07,375438
2019/08/08,371213
2019/08/09,379566
2019/08/10,367777
2019/08/11,346627
2019/08/12,375316
2019/08/13,382095
2019/08/14,387813
2019/08/15,375549
2019/08/16,382426
2019/08/17,359348
2019/08/18,340871
2019/08/19,357612
2019/08/20,373409
2019/08/21,383745
2019/08/22,381592
2019/08/23,388700
2019/08/24,371984
2019/08/25,356157
2019/08/26,370749
2019/08/27,377604
2019/08/28,373728
2019/08/29,374767
2019/08/30,366964
2019/08/31,351603
2019/09/01,337434
2019/09/02,360133
2019/09/03,367641
2019/09/04,365586
2019/09/05,383332
2019/09/06,386686
2019/09/07,367860
