Date,activeaddresses30roc
2018/06/17,-24.525
2018/06/18,-28.259
2018/06/19,-11.713
2018/06/20,-6.104
2018/06/21,-13.745
2018/06/22,-12.778
2018/06/23,-19.114
2018/06/24,-15.262
2018/06/25,10.393
2018/06/26,-17.322
2018/06/27,-21.414
2018/06/28,-11.576
2018/06/29,-13.7
2018/06/30,-42.074
2018/07/01,-50.291
2018/07/02,-44.867
2018/07/03,-47.865
2018/07/04,-45.814
2018/07/05,-36.797
2018/07/06,-44.457
2018/07/07,-46.94
2018/07/08,-26.779
2018/07/09,219.647
2018/07/10,0
2018/07/11,-30.419
2018/07/12,-28.534
2018/07/13,-38.559
2018/07/14,-41.571
2018/07/15,-43.527
2018/07/16,11.411
2018/07/17,3.763
2018/07/18,19.876
2018/07/19,1.283
2018/07/20,-13.608
2018/07/21,-21.943
2018/07/22,-10.95
2018/07/23,10.01
2018/07/24,16.974
2018/07/25,-8.172
2018/07/26,6.193
2018/07/27,11.367
2018/07/28,-3.631
2018/07/29,1.532
2018/07/30,60.833
2018/07/31,102.401
2018/08/01,72.243
2018/08/02,62.996
2018/08/03,80.439
2018/08/04,40.199
2018/08/05,57.264
2018/08/06,66.972
2018/08/07,20.819
2018/08/08,-2.745
2018/08/09,-2.899
2018/08/10,-100
2018/08/11,-100
2018/08/12,-100
2018/08/13,64.233
2018/08/14,53.366
2018/08/15,-6.613
2018/08/16,1.683
2018/08/17,-27.774
2018/08/18,-20.771
2018/08/19,-12.84
2018/08/20,12.623
2018/08/21,-17.152
2018/08/22,-23.287
2018/08/23,-29.464
2018/08/24,-28.983
2018/08/25,-22.581
2018/08/26,-26.617
2018/08/27,-13.763
2018/08/28,-17.183
2018/08/29,-34.891
2018/08/30,-26.582
2018/08/31,-27.456
2018/09/01,-13.575
2018/09/02,-17.114
2018/09/03,-5.609
2018/09/04,-11.423
2018/09/05,-12.204
2018/09/06,-7.658
2018/09/07,4.879
2018/09/08,-1.93
2018/09/09,0
2018/09/10,0
2018/09/11,0
2018/09/12,-25.676
2018/09/13,-18.475
2018/09/14,-21.962
2018/09/15,-39.397
2018/09/16,-28.367
2018/09/17,-12.175
2018/09/18,-20.575
2018/09/19,-32.778
2018/09/20,-16.616
2018/09/21,-14.625
2018/09/22,-23.566
2018/09/23,-24.86
2018/09/24,-23.962
2018/09/25,-21.559
2018/09/26,-31.062
2018/09/27,-25.949
2018/09/28,-8.553
2018/09/29,-29.08
2018/09/30,-16.342
2018/10/01,-30.228
2018/10/02,-34.666
2018/10/03,-19.976
2018/10/04,-9.812
2018/10/05,-7.075
2018/10/06,3.885
2018/10/07,-17.945
2018/10/08,-7.331
2018/10/09,-6.452
2018/10/10,-12.291
2018/10/11,1.502
2018/10/12,-3.065
2018/10/13,-5.365
2018/10/14,0.103
2018/10/15,29.851
