Date,sentbyaddress14mom
2018/09/16,-89194
2018/09/17,-55422
2018/09/18,-62855
2018/09/19,-70021
2018/09/20,-37742
2018/09/21,-39309
2018/09/22,-50905
2018/09/23,-50380
2018/09/24,-46171
2018/09/25,-15307
2018/09/26,-31612
2018/09/27,-36641
2018/09/28,-24228
2018/09/29,-9408
2018/09/30,22348
2018/10/01,-33175
2018/10/02,-16256
2018/10/03,40309
2018/10/04,27239
2018/10/05,42605
2018/10/06,61133
2018/10/07,13542
2018/10/08,28721
2018/10/09,29019
2018/10/10,26867
2018/10/11,36751
2018/10/12,31039
2018/10/13,51894
2018/10/14,2894
2018/10/15,44732
2018/10/16,56396
2018/10/17,18692
2018/10/18,822
2018/10/19,-21615
2018/10/20,-31248
2018/10/21,6343
2018/10/22,24115
2018/10/23,5036
2018/10/24,23031
2018/10/25,-637
2018/10/26,14494
2018/10/27,-6258
2018/10/28,-6223
2018/10/29,20150
2018/10/30,17144
2018/10/31,-3253
2018/11/01,-2979
2018/11/02,-29632
2018/11/03,-23015
2018/11/04,-7127
2018/11/05,-18560
2018/11/06,-13047
2018/11/07,-33772
2018/11/08,-27047
2018/11/09,-9869
2018/11/10,-11236
2018/11/11,31203
2018/11/12,-24130
2018/11/13,-39829
2018/11/14,-19634
2018/11/15,-8296
2018/11/16,6483
2018/11/17,-3981
2018/11/18,-16675
2018/11/19,36320
2018/11/20,15393
2018/11/21,6643
2018/11/22,7133
2018/11/23,-15540
2018/11/24,-18461
2018/11/25,-27311
2018/11/26,-14375
2018/11/27,-9203
2018/11/28,-17211
2018/11/29,-22108
2018/11/30,2596
2018/12/01,-5079
2018/12/02,-1144
2018/12/03,-61848
2018/12/04,-41824
2018/12/05,4008
2018/12/06,-1782
2018/12/07,15406
2018/12/08,52062
2018/12/09,6126
2018/12/10,4696
2018/12/11,-2303
2018/12/12,-1283
2018/12/13,8486
2018/12/14,-6012
2018/12/15,28561
2018/12/16,29449
2018/12/17,12940
2018/12/18,6577
2018/12/19,9974
2018/12/20,17929
2018/12/21,-7783
2018/12/22,-55883
2018/12/23,-3578
2018/12/24,2597
2018/12/25,5160
2018/12/26,8679
2018/12/27,16517
2018/12/28,15640
2018/12/29,11118
2018/12/30,-21492
2018/12/31,-1375
2019/01/01,-8428
2019/01/02,-496
2019/01/03,16597
2019/01/04,-1675
2019/01/05,17983
2019/01/06,1076
2019/01/07,5944
2019/01/08,20926
2019/01/09,8416
2019/01/10,-115
2019/01/11,-1368
2019/01/12,-50653
2019/01/13,-11718
2019/01/14,39899
2019/01/15,36839
2019/01/16,-21798
2019/01/17,-38679
2019/01/18,-10228
2019/01/19,-8704
2019/01/20,-18155
2019/01/21,-24032
2019/01/22,-35694
2019/01/23,-21414
2019/01/24,-19162
2019/01/25,-17018
2019/01/26,1482
2019/01/27,11757
2019/01/28,-32401
2019/01/29,-19840
2019/01/30,-4577
2019/01/31,-2445
2019/02/01,-9517
2019/02/02,-21316
2019/02/03,-25260
2019/02/04,-41623
2019/02/05,-31580
2019/02/06,-42921
2019/02/07,-40640
2019/02/08,-22257
2019/02/09,-16311
2019/02/10,-41405
2019/02/11,-45716
2019/02/12,-35847
2019/02/13,-15929
2019/02/14,-16006
2019/02/15,-8854
2019/02/16,3003
2019/02/17,9883
2019/02/18,51793
2019/02/19,39441
2019/02/20,31761
2019/02/21,22411
2019/02/22,9021
2019/02/23,19715
2019/02/24,36457
2019/02/25,14740
2019/02/26,22576
2019/02/27,23528
2019/02/28,11615
2019/03/01,28867
2019/03/02,21580
2019/03/03,12167
2019/03/04,-3017
2019/03/05,14326
2019/03/06,20746
2019/03/07,27696
2019/03/08,20148
2019/03/09,29737
2019/03/10,-10197
2019/03/11,6523
2019/03/12,16705
2019/03/13,3729
2019/03/14,12580
2019/03/15,-7433
2019/03/16,-14069
2019/03/17,2850
2019/03/18,11591
2019/03/19,10507
2019/03/20,11202
2019/03/21,-1536
2019/03/22,5441
2019/03/23,-8443
2019/03/24,19891
2019/03/25,48618
2019/03/26,23806
2019/03/27,16895
2019/03/28,20706
2019/03/29,22236
2019/03/30,37115
2019/03/31,26123
2019/04/01,38969
2019/04/02,66192
2019/04/03,49354
2019/04/04,39092
2019/04/05,27012
2019/04/06,10835
2019/04/07,23481
2019/04/08,5335
2019/04/09,16669
2019/04/10,10220
2019/04/11,44963
2019/04/12,61138
2019/04/13,22175
2019/04/14,-15223
2019/04/15,-24218
2019/04/16,-63746
2019/04/17,-39518
2019/04/18,-3620
2019/04/19,22042
2019/04/20,109014
2019/04/21,34476
2019/04/22,6883
2019/04/23,21256
2019/04/24,20824
2019/04/25,-27314
2019/04/26,-53428
2019/04/27,-31869
2019/04/28,12996
2019/04/29,-6759
2019/04/30,22401
2019/05/01,18533
2019/05/02,-30092
2019/05/03,-33756
2019/05/04,-111353
2019/05/05,-36491
2019/05/06,-22904
2019/05/07,-43743
2019/05/08,-21006
2019/05/09,-100
2019/05/10,15152
2019/05/11,41528
2019/05/12,32254
2019/05/13,42554
2019/05/14,43772
2019/05/15,49461
2019/05/16,104601
2019/05/17,59846
2019/05/18,53573
