Date,price90smaUSD
2018/08/04,535.395
2018/08/05,531.656
2018/08/06,527.863
2018/08/07,524.121
2018/08/08,519.812
2018/08/09,516.06
2018/08/10,512.561
2018/08/11,508.282
2018/08/12,503.87
2018/08/13,499.255
2018/08/14,494.462
2018/08/15,489.877
2018/08/16,485.534
2018/08/17,481.122
2018/08/18,476.584
2018/08/19,472.027
2018/08/20,467.692
2018/08/21,463.948
2018/08/22,460.549
2018/08/23,456.979
2018/08/24,453.424
2018/08/25,450.134
2018/08/26,447.194
2018/08/27,444.237
2018/08/28,441.193
2018/08/29,438.079
2018/08/30,434.807
2018/08/31,431.388
2018/09/01,427.825
2018/09/02,424.407
2018/09/03,421.015
2018/09/04,417.487
2018/09/05,413.67
2018/09/06,409.495
2018/09/07,405.259
2018/09/08,401.404
2018/09/09,397.754
2018/09/10,394.145
2018/09/11,390.912
2018/09/12,387.395
2018/09/13,384.011
2018/09/14,380.861
2018/09/15,377.716
2018/09/16,374.556
2018/09/17,371.056
2018/09/18,367.431
2018/09/19,363.829
2018/09/20,360.721
2018/09/21,358.039
2018/09/22,355.699
2018/09/23,353.306
2018/09/24,350.923
2018/09/25,348.475
2018/09/26,346.022
2018/09/27,343.818
2018/09/28,341.329
2018/09/29,338.814
2018/09/30,336.273
2018/10/01,333.581
2018/10/02,330.925
2018/10/03,328.144
2018/10/04,325.438
2018/10/05,322.698
2018/10/06,319.788
2018/10/07,316.926
2018/10/08,314.456
2018/10/09,312.112
2018/10/10,309.796
2018/10/11,307.193
2018/10/12,304.551
2018/10/13,301.84
2018/10/14,298.909
2018/10/15,295.89
2018/10/16,292.733
2018/10/17,289.804
2018/10/18,287.014
2018/10/19,284.173
2018/10/20,281.315
2018/10/21,278.515
2018/10/22,275.603
2018/10/23,272.593
2018/10/24,269.578
2018/10/25,266.666
2018/10/26,263.73
2018/10/27,260.816
2018/10/28,257.977
2018/10/29,255.306
2018/10/30,252.813
2018/10/31,250.38
2018/11/01,248.027
2018/11/02,245.678
2018/11/03,243.383
2018/11/04,241.121
2018/11/05,238.966
2018/11/06,237.266
2018/11/07,235.692
2018/11/08,234.123
2018/11/09,232.932
2018/11/10,231.721
