Date,hashrate3ema
2018/02/02,2.2055632963166E+14
2018/02/03,2.2214862886865E+14
2018/02/04,2.2284753855156E+14
2018/02/05,2.2608316474549E+14
2018/02/06,2.2634757363663E+14
2018/02/07,2.2916953650962E+14
2018/02/08,2.2934408970814E+14
2018/02/09,2.3109537382302E+14
2018/02/10,2.327451316749E+14
2018/02/11,2.3459589717885E+14
2018/02/12,2.3784799561128E+14
2018/02/13,2.4022481348594E+14
2018/02/14,2.3825361075994E+14
2018/02/15,2.3834323476438E+14
2018/02/16,2.4070408180802E+14
2018/02/17,2.4213952793067E+14
2018/02/18,242840402802406
2018/02/19,2.4284194522211E+14
2018/02/20,2.4123715253879E+14
2018/02/21,2.4142998146804E+14
2018/02/22,2.4251493074556E+14
2018/02/23,2.4422780067521E+14
2018/02/24,2.4434721727688E+14
2018/02/25,2.4729327664988E+14
2018/02/26,2.4738445770576E+14
2018/02/27,2.4534032713653E+14
2018/02/28,2.4869065222191E+14
2018/03/01,2.5094784956085E+14
2018/03/02,2.5296204247341E+14
2018/03/03,2.5666462935986E+14
2018/03/04,2.5507511720352E+14
2018/03/05,2.5477301709118E+14
2018/03/06,2.5492671272847E+14
2018/03/07,2.5916664607338E+14
2018/03/08,2.6085399445737E+14
2018/03/09,258679999761512
2018/03/10,2.5889872399659E+14
2018/03/11,2.5840154569843E+14
2018/03/12,2.5906152279757E+14
2018/03/13,2.5910009602438E+14
2018/03/14,2.5778537052367E+14
2018/03/15,2.5867279733693E+14
2018/03/16,2.6370098815142E+14
2018/03/17,2.6532010919117E+14
2018/03/18,2.6505512775892E+14
2018/03/19,2.6544429036271E+14
2018/03/20,2.6626117855993E+14
2018/03/21,2.6494021381978E+14
2018/03/22,2.640089172424E+14
2018/03/23,2.6416125863225E+14
2018/03/24,2.6336580291054E+14
2018/03/25,2.635904377963E+14
2018/03/26,2.6728125007155E+14
2018/03/27,2.6603297751363E+14
2018/03/28,2.6520261766717E+14
2018/03/29,2.6249181024068E+14
2018/03/30,2.6265459405394E+14
2018/03/31,2.609227681703E+14
2018/04/01,2.6025347119509E+14
2018/04/02,2.6000638324782E+14
2018/04/03,2.569205924684E+14
2018/04/04,2.5655572085152E+14
2018/04/05,2.5714384731358E+14
2018/04/06,2.6067752108209E+14
2018/04/07,2.6023626004217E+14
2018/04/08,2.5909744900568E+14
2018/04/09,2.5435964329538E+14
2018/04/10,2.5514149188425E+14
2018/04/11,2.5430228606365E+14
2018/04/12,2.5319729113846E+14
2018/04/13,2.5400622947993E+14
2018/04/14,2.5455937260662E+14
2018/04/15,2.5481875226662E+14
2018/04/16,2.5541479952877E+14
2018/04/17,2.555670679135E+14
2018/04/18,2.5242897042573E+14
2018/04/19,2.5446839965442E+14
2018/04/20,2.5236048341542E+14
2018/04/21,2.5610009664757E+14
2018/04/22,2.5637286720411E+14
2018/04/23,2.5858776294400E+14
2018/04/24,2.570936748902E+14
2018/04/25,2.5745483202568E+14
2018/04/26,2.6240690637931E+14
2018/04/27,2.6014335269888E+14
2018/04/28,2.571897600795E+14
2018/04/29,2.6140416714493E+14
2018/04/30,2.6277475804451E+14
2018/05/01,2.596181876634E+14
2018/05/02,2.6079030104951E+14
2018/05/03,2.6187799539761E+14
2018/05/04,2.6392378207456E+14
2018/05/05,2.6712468135103E+14
2018/05/06,2.6895525616455E+14
2018/05/07,272715741724613
2018/05/08,273196170038533
2018/05/09,2.7164521493672E+14
2018/05/10,2.7084440311793E+14
2018/05/11,2.7189796366722E+14
2018/05/12,2.7538206119909E+14
2018/05/13,2.7687058427766E+14
2018/05/14,2.7492794938517E+14
2018/05/15,2.7218949058908E+14
2018/05/16,2.7100145582815E+14
2018/05/17,2.7182012896638E+14
2018/05/18,2.711917437289E+14
2018/05/19,271538390189784
2018/05/20,2.7365536927361E+14
2018/05/21,2.7594462511018E+14
2018/05/22,2.754776439856E+14
2018/05/23,2.7486519979226E+14
2018/05/24,2.6961210894084E+14
2018/05/25,2.6802407419281E+14
2018/05/26,2.6940513056453E+14
2018/05/27,2.6689025725101E+14
2018/05/28,2.6795432331945E+14
2018/05/29,2.6801855486249E+14
2018/05/30,2.6694476904856E+14
2018/05/31,2.6958221176186E+14
2018/06/01,2.65358655314E+14
2018/06/02,2.6671073156156E+14
2018/06/03,2.6641431096652E+14
2018/06/04,2.6689403447454E+14
2018/06/05,2.667420132185E+14
2018/06/06,2.6588517297594E+14
2018/06/07,2.6668358372815E+14
2018/06/08,2.6775351043007E+14
2018/06/09,2.7397726994513E+14
2018/06/10,2.7180627114223E+14
2018/06/11,2.7298520541924E+14
2018/06/12,2.7541448870611E+14
2018/06/13,2.7284206554991E+14
2018/06/14,2.7132807604655E+14
2018/06/15,2.7018006423631E+14
2018/06/16,2.7096816406938E+14
2018/06/17,2.7030126689132E+14
2018/06/18,2.7507240188323E+14
2018/06/19,2.7875521650332E+14
2018/06/20,2.7892943483665E+14
2018/06/21,2.8084744514223E+14
2018/06/22,2.8271205288397E+14
2018/06/23,2.8165000147668E+14
