Date,sentinusd90rocUSD
2018/09/19,-67.326
2018/09/20,-66.217
2018/09/21,10.348
2018/09/22,-57.961
2018/09/23,-69.448
2018/09/24,-48.958
2018/09/25,-52.036
2018/09/26,-49.483
2018/09/27,-59.753
2018/09/28,-31.673
2018/09/29,-28.88
2018/09/30,-52.022
2018/10/01,-66.106
2018/10/02,-65.422
2018/10/03,-54.659
2018/10/04,-52.114
2018/10/05,-36.915
2018/10/06,-60.448
2018/10/07,-74.017
2018/10/08,-56.87
2018/10/09,-48.032
2018/10/10,-40.79
2018/10/11,15.051
2018/10/12,-1.722
2018/10/13,-32.33
2018/10/14,-71.042
2018/10/15,-18.445
2018/10/16,-53.192
2018/10/17,-48.385
2018/10/18,-39.777
2018/10/19,-31.781
2018/10/20,-38.357
2018/10/21,-45.679
2018/10/22,-59.461
2018/10/23,-51.841
2018/10/24,-43.1
2018/10/25,-29.011
2018/10/26,-5.71
2018/10/27,-43.44
2018/10/28,-71.057
2018/10/29,-68.212
2018/10/30,-48.663
2018/10/31,-48.491
2018/11/01,-40.801
2018/11/02,-4.332
2018/11/03,-39.746
2018/11/04,-37.877
2018/11/05,-11.454
2018/11/06,-47.396
2018/11/07,-19.221
2018/11/08,-42.902
2018/11/09,-33.728
2018/11/10,-27.633
2018/11/11,-69.243
2018/11/12,-52.345
2018/11/13,-46.644
2018/11/14,32.223
2018/11/15,1.027
2018/11/16,18.656
2018/11/17,4.552
2018/11/18,-20.707
2018/11/19,89.765
2018/11/20,61.559
2018/11/21,28.321
2018/11/22,-11.002
2018/11/23,24.674
2018/11/24,3.987
2018/11/25,-1.938
2018/11/26,-7.576
2018/11/27,-33.329
2018/11/28,-2.076
2018/11/29,2.247
2018/11/30,490.247
2018/12/01,568.187
2018/12/02,-68
2018/12/03,-69.705
2018/12/04,-61.641
2018/12/05,-54.938
2018/12/06,-33.399
2018/12/07,-4.224
2018/12/08,-42.476
2018/12/09,-53.982
2018/12/10,-51.028
2018/12/11,-65.253
2018/12/12,-54.082
2018/12/13,-40.949
2018/12/14,-26.054
2018/12/15,-41.91
2018/12/16,-62.593
2018/12/17,-15.496
2018/12/18,-4.881
2018/12/19,13.869
2018/12/20,-28.061
2018/12/21,36.37
2018/12/22,-30.032
2018/12/23,-13.597
2018/12/24,43.446
2018/12/25,-20.766
2018/12/26,-22.539
2018/12/27,-7.413
2018/12/28,14.973
2018/12/29,67.214
2018/12/30,-22.176
2018/12/31,14.68
2019/01/01,-35.52
2019/01/02,14.638
2019/01/03,14.989
2019/01/04,138.832
2019/01/05,203.481
2019/01/06,1.142
2019/01/07,25.165
2019/01/08,5.406
2019/01/09,-46.588
2019/01/10,8.959
2019/01/11,107.996
2019/01/12,-19.03
2019/01/13,-69.092
2019/01/14,-10.899
2019/01/15,-25.141
2019/01/16,-33.45
2019/01/17,-22.955
2019/01/18,-27.365
2019/01/19,-55.807
2019/01/20,-36.325
2019/01/21,-38.225
2019/01/22,-35.531
2019/01/23,-47.793
2019/01/24,-20.97
2019/01/25,13.07
2019/01/26,-27.397
2019/01/27,-46.077
2019/01/28,5.746
2019/01/29,-30.082
2019/01/30,-20.874
2019/01/31,-32.701
2019/02/01,-4.897
2019/02/02,-57.972
2019/02/03,-71.505
2019/02/04,-72.342
2019/02/05,-77.443
2019/02/06,-51.099
2019/02/07,-56.793
2019/02/08,0.572
2019/02/09,-41.886
2019/02/10,-56.539
2019/02/11,-35.276
2019/02/12,-68.54
2019/02/13,-60.895
2019/02/14,-49.063
2019/02/15,-20.788
2019/02/16,-60.567
2019/02/17,-71.449
2019/02/18,-46.169
2019/02/19,-20.618
2019/02/20,-7.745
2019/02/21,-16.807
2019/02/22,11.408
2019/02/23,-47.236
2019/02/24,14.657
2019/02/25,69.39
2019/02/26,-34.852
2019/02/27,-7.666
2019/02/28,-83.919
2019/03/01,-85.96
2019/03/02,19.27
2019/03/03,-11.467
2019/03/04,26.642
2019/03/05,-1.124
2019/03/06,-20.59
2019/03/07,-31.761
2019/03/08,32.966
2019/03/09,12.058
2019/03/10,0.521
2019/03/11,42.853
2019/03/12,48.563
2019/03/13,1.742
2019/03/14,29.75
2019/03/15,91.532
2019/03/16,75.684
2019/03/17,-22.007
2019/03/18,16.584
2019/03/19,-42.03
2019/03/20,-16.937
2019/03/21,-33.333
2019/03/22,19.99
2019/03/23,-8.997
2019/03/24,-57.973
2019/03/25,23.571
2019/03/26,20.98
2019/03/27,-10.471
2019/03/28,-13.183
2019/03/29,-30.826
2019/03/30,60.373
2019/03/31,6.513
2019/04/01,53.198
2019/04/02,53.682
2019/04/03,85.958
2019/04/04,-20.145
2019/04/05,-33.819
2019/04/06,-17.489
2019/04/07,-0.167
2019/04/08,93.022
2019/04/09,77.538
2019/04/10,18.223
2019/04/11,-0.312
2019/04/12,119.235
2019/04/13,17.258
2019/04/14,-32.889
2019/04/15,38.699
2019/04/16,11.511
2019/04/17,41.197
2019/04/18,111.106
2019/04/19,120.903
