Date,transactionvalue14momUSD
2018/11/26,2.303
2018/11/27,-106.607
2018/11/28,-379.023
2018/11/29,-226.438
2018/11/30,2626
2018/12/01,2952
2018/12/02,-355.829
2018/12/03,-779.705
2018/12/04,-817.05
2018/12/05,-367.404
2018/12/06,25.988
2018/12/07,80.041
2018/12/08,-114.072
2018/12/09,-388.994
2018/12/10,-276.107
2018/12/11,-107.448
2018/12/12,-238.241
2018/12/13,-303.586
2018/12/14,-2941
2018/12/15,-3156
2018/12/16,-38.587
2018/12/17,82.42
2018/12/18,109.459
2018/12/19,238.644
2018/12/20,153.913
2018/12/21,97.61
2018/12/22,28.05
2018/12/23,270.487
2018/12/24,521.635
2018/12/25,155.805
2018/12/26,106.728
2018/12/27,170.218
2018/12/28,239.761
2018/12/29,687.871
2018/12/30,188.691
2018/12/31,2.954
2019/01/01,-47.972
2019/01/02,-64.044
2019/01/03,-162.264
2019/01/04,214.446
2019/01/05,823.121
2019/01/06,59.17
2019/01/07,-201.987
2019/01/08,52.167
2019/01/09,93.539
2019/01/10,95.783
2019/01/11,263.655
2019/01/12,-551.607
2019/01/13,-37.816
2019/01/14,180.269
2019/01/15,55.784
2019/01/16,-54.849
2019/01/17,-128.721
2019/01/18,-664.862
2019/01/19,-964.798
2019/01/20,-380.684
2019/01/21,-368.518
2019/01/22,-281.832
2019/01/23,-159.208
2019/01/24,-207.573
2019/01/25,-459.813
2019/01/26,-91.549
2019/01/27,-11.257
2019/01/28,-121.323
2019/01/29,-138.249
2019/01/30,-182.092
2019/01/31,-16.629
2019/02/01,18.523
2019/02/02,-44.013
2019/02/03,-57.381
2019/02/04,-105.432
2019/02/05,-103.396
2019/02/06,-14.543
2019/02/07,-180.274
2019/02/08,48.818
2019/02/09,6.135
2019/02/10,11.532
2019/02/11,-70.692
2019/02/12,-0.338
2019/02/13,-7.784
2019/02/14,-63.179
2019/02/15,-4.708
2019/02/16,1.369
2019/02/17,163.431
2019/02/18,565.46
2019/02/19,510.964
2019/02/20,189.511
2019/02/21,221.313
2019/02/22,83.95
2019/02/23,155.173
2019/02/24,371.001
2019/02/25,361.475
2019/02/26,41.324
2019/02/27,290.111
2019/02/28,167.05
2019/03/01,49.828
2019/03/02,85.125
2019/03/03,-35.426
2019/03/04,-315.705
2019/03/05,-252.686
2019/03/06,-90.044
2019/03/07,-61.715
2019/03/08,-0.868
2019/03/09,-35.882
2019/03/10,-339.045
2019/03/11,-284.458
2019/03/12,93.311
2019/03/13,-263.428
2019/03/14,-69.691
2019/03/15,71.455
2019/03/16,162.691
2019/03/17,33.468
2019/03/18,112.975
2019/03/19,-99.227
2019/03/20,111.429
2019/03/21,42.688
2019/03/22,-135.261
2019/03/23,175.528
2019/03/24,-39.94
2019/03/25,-17.545
2019/03/26,-15.644
2019/03/27,29.161
2019/03/28,-17.327
2019/03/29,33.787
2019/03/30,0.104
2019/03/31,-18.28
2019/04/01,-120.883
2019/04/02,416.891
2019/04/03,312.459
2019/04/04,137.499
2019/04/05,256.294
2019/04/06,-71.989
2019/04/07,265.915
2019/04/08,424.171
2019/04/09,359.804
2019/04/10,251.438
2019/04/11,167.931
2019/04/12,25.811
2019/04/13,-125.9
2019/04/14,39.946
2019/04/15,171.222
2019/04/16,-278.335
2019/04/17,-402.598
2019/04/18,-41.946
2019/04/19,-131.707
2019/04/20,-77.769
2019/04/21,-167.842
2019/04/22,-451.567
2019/04/23,-248.957
2019/04/24,106.718
2019/04/25,80.796
2019/04/26,469.176
2019/04/27,121.657
2019/04/28,106.607
2019/04/29,85.643
2019/04/30,112.893
2019/05/01,54.859
2019/05/02,-111.042
2019/05/03,51.441
2019/05/04,46.962
2019/05/05,-62.741
2019/05/06,137.522
2019/05/07,255.294
2019/05/08,-90.67
2019/05/09,-86.346
2019/05/10,-392.509
2019/05/11,597.407
2019/05/12,148.889
2019/05/13,250.547
2019/05/14,214.318
2019/05/15,605.46
2019/05/16,1488
2019/05/17,731.075
2019/05/18,217.415
2019/05/19,324.577
2019/05/20,205.508
2019/05/21,-25.858
2019/05/22,63.55
2019/05/23,205.425
2019/05/24,14.419
2019/05/25,-575.726
