Date,fee_to_reward30rocUSD
2018/10/04,-0.807
2018/10/05,20.419
2018/10/06,-39.721
2018/10/07,-34.828
2018/10/08,6.446
2018/10/09,-8.983
2018/10/10,2.03
2018/10/11,-7.569
2018/10/12,-10.747
2018/10/13,-34.688
2018/10/14,-25.216
2018/10/15,8.481
2018/10/16,-2.776
2018/10/17,-10.461
2018/10/18,-17.925
2018/10/19,-37.184
2018/10/20,-25.834
2018/10/21,-44.727
2018/10/22,-4.314
2018/10/23,7.711
2018/10/24,-9.666
2018/10/25,7.248
2018/10/26,-9.874
2018/10/27,-37.437
2018/10/28,-45.686
2018/10/29,-32.031
2018/10/30,-18.183
2018/10/31,-31.512
2018/11/01,-35.702
2018/11/02,0.893
2018/11/03,-15.696
2018/11/04,-18.094
2018/11/05,70.564
2018/11/06,61.219
2018/11/07,7.666
2018/11/08,28.715
2018/11/09,-7.528
2018/11/10,-36.023
2018/11/11,-37.747
2018/11/12,33.45
2018/11/13,63.749
2018/11/14,40.76
2018/11/15,78.504
2018/11/16,41.505
2018/11/17,14.662
2018/11/18,9.809
2018/11/19,75.772
2018/11/20,94.827
2018/11/21,31.474
2018/11/22,27.644
2018/11/23,12.956
2018/11/24,-14.049
2018/11/25,12.55
2018/11/26,49.596
2018/11/27,49.426
2018/11/28,51.882
2018/11/29,70.791
2018/11/30,112.268
2018/12/01,46.554
2018/12/02,19.19
2018/12/03,66.363
2018/12/04,76.59
2018/12/05,33.786
2018/12/06,3.079
2018/12/07,10.75
2018/12/08,-26.076
2018/12/09,-13.108
2018/12/10,39.204
2018/12/11,43.702
2018/12/12,-12.492
2018/12/13,-10.996
2018/12/14,-25.879
2018/12/15,-44.801
2018/12/16,-40.348
2018/12/17,1.82
2018/12/18,3.47
2018/12/19,-24.036
2018/12/20,-25.914
2018/12/21,-11.979
2018/12/22,-30.571
2018/12/23,-25.788
2018/12/24,0.62
2018/12/25,-11.675
2018/12/26,-21.337
2018/12/27,-25.598
2018/12/28,-38.695
2018/12/29,-51.945
2018/12/30,-32.55
2018/12/31,-39.496
2019/01/01,-38.893
2019/01/02,-39.825
2019/01/03,-39.808
2019/01/04,-38.274
2019/01/05,-19.921
2019/01/06,-32.752
2019/01/07,-2.452
2019/01/08,1.228
2019/01/09,-17.329
2019/01/10,3.83
2019/01/11,-0.701
2019/01/12,-31.598
2019/01/13,-28.318
2019/01/14,65.197
2019/01/15,46.661
2019/01/16,4.25
2019/01/17,-18.494
2019/01/18,-12.12
2019/01/19,-21.323
2019/01/20,-22.645
2019/01/21,25.498
2019/01/22,35.148
2019/01/23,-2.691
2019/01/24,-3.417
2019/01/25,0.758
2019/01/26,-4.51
2019/01/27,-10.281
2019/01/28,43.809
2019/01/29,-26.274
2019/01/30,28.612
2019/01/31,57.448
2019/02/01,29.476
2019/02/02,0.634
2019/02/03,-15.733
2019/02/04,-14.632
2019/02/05,5.53
2019/02/06,6.698
2019/02/07,8.989
2019/02/08,27.507
2019/02/09,-5.788
2019/02/10,10.519
2019/02/11,73.62
2019/02/12,59.606
2019/02/13,-2.157
2019/02/14,13.668
2019/02/15,44.789
2019/02/16,44.99
2019/02/17,33.823
2019/02/18,97.244
2019/02/19,106.283
2019/02/20,59.265
2019/02/21,29.746
2019/02/22,45.865
2019/02/23,27.519
2019/02/24,69.426
2019/02/25,124.887
2019/02/26,122.405
2019/02/27,44.433
2019/02/28,86.773
2019/03/01,32.956
2019/03/02,4.212
2019/03/03,2.982
2019/03/04,67.208
2019/03/05,82.281
2019/03/06,72.259
2019/03/07,68.15
2019/03/08,56.399
2019/03/09,37.189
2019/03/10,5.852
2019/03/11,33.916
2019/03/12,24.318
2019/03/13,2.991
2019/03/14,-1.643
2019/03/15,-12.85
2019/03/16,-25.032
2019/03/17,-35.498
2019/03/18,9.751
2019/03/19,11.417
2019/03/20,-23.702
2019/03/21,7.954
2019/03/22,-4.603
2019/03/23,-25.416
2019/03/24,-21.702
2019/03/25,11.455
2019/03/26,-5.724
2019/03/27,-10.111
2019/03/28,-19.006
2019/03/29,0.064
2019/03/30,-30.548
2019/03/31,-7.879
2019/04/01,32.114
2019/04/02,65.383
2019/04/03,50.944
2019/04/04,16.188
2019/04/05,-5.292
2019/04/06,-15.81
2019/04/07,-13.318
2019/04/08,21.368
2019/04/09,26.593
2019/04/10,78.871
2019/04/11,322.16
2019/04/12,279.701
2019/04/13,223.821
2019/04/14,198.007
2019/04/15,318.991
2019/04/16,399.993
2019/04/17,262.558
2019/04/18,283.797
2019/04/19,131.63
2019/04/20,-45.327
2019/04/21,-31.165
2019/04/22,3.212
2019/04/23,9.329
2019/04/24,-15.824
2019/04/25,-28.732
2019/04/26,-16.301
2019/04/27,-38.329
2019/04/28,-42.262
2019/04/29,-19.83
2019/04/30,-13.577
2019/05/01,-29.464
