Date,difficulty30trx
2019/01/20,-0.122
2019/01/21,-0.105
2019/01/22,-0.086
2019/01/23,-0.069
2019/01/24,-0.051
2019/01/25,-0.033
2019/01/26,-0.016
2019/01/27,-0.001
2019/01/28,0.012
2019/01/29,0.021
2019/01/30,0.027
2019/01/31,0.03
2019/02/01,0.03
2019/02/02,0.028
2019/02/03,0.023
2019/02/04,0.017
2019/02/05,0.009
2019/02/06,0.001
2019/02/07,-0.009
2019/02/08,-0.019
2019/02/09,-0.029
2019/02/10,-0.035
2019/02/11,-0.037
2019/02/12,-0.035
2019/02/13,-0.031
2019/02/14,-0.025
2019/02/15,-0.018
2019/02/16,-0.01
2019/02/17,-0.001
2019/02/18,0.009
2019/02/19,0.021
2019/02/20,0.034
2019/02/21,0.048
2019/02/22,0.062
2019/02/23,0.078
2019/02/24,0.094
2019/02/25,0.11
2019/02/26,0.126
2019/02/27,0.142
2019/02/28,0.156
2019/03/01,0.16
2019/03/02,0.154
2019/03/03,0.141
2019/03/04,0.12
2019/03/05,0.095
2019/03/06,0.066
2019/03/07,0.034
2019/03/08,0.001
2019/03/09,-0.034
2019/03/10,-0.07
2019/03/11,-0.106
2019/03/12,-0.142
2019/03/13,-0.178
2019/03/14,-0.213
2019/03/15,-0.247
2019/03/16,-0.279
2019/03/17,-0.31
2019/03/18,-0.339
2019/03/19,-0.367
2019/03/20,-0.394
2019/03/21,-0.418
2019/03/22,-0.441
2019/03/23,-0.463
2019/03/24,-0.482
2019/03/25,-0.501
2019/03/26,-0.518
2019/03/27,-0.534
2019/03/28,-0.549
2019/03/29,-0.562
2019/03/30,-0.575
2019/03/31,-0.588
2019/04/01,-0.598
2019/04/02,-0.607
2019/04/03,-0.614
2019/04/04,-0.62
2019/04/05,-0.624
2019/04/06,-0.626
2019/04/07,-0.627
2019/04/08,-0.626
2019/04/09,-0.624
2019/04/10,-0.62
2019/04/11,-0.614
2019/04/12,-0.607
2019/04/13,-0.599
2019/04/14,-0.588
2019/04/15,-0.577
2019/04/16,-0.565
2019/04/17,-0.552
2019/04/18,-0.54
2019/04/19,-0.527
2019/04/20,-0.514
2019/04/21,-0.5
2019/04/22,-0.486
2019/04/23,-0.472
2019/04/24,-0.458
2019/04/25,-0.445
2019/04/26,-0.432
2019/04/27,-0.418
2019/04/28,-0.405
2019/04/29,-0.391
2019/04/30,-0.377
2019/05/01,-0.363
2019/05/02,-0.349
2019/05/03,-0.335
2019/05/04,-0.32
2019/05/05,-0.306
2019/05/06,-0.291
2019/05/07,-0.277
2019/05/08,-0.263
2019/05/09,-0.249
2019/05/10,-0.235
2019/05/11,-0.222
2019/05/12,-0.208
2019/05/13,-0.195
2019/05/14,-0.181
2019/05/15,-0.167
2019/05/16,-0.153
2019/05/17,-0.137
2019/05/18,-0.119
2019/05/19,-0.101
2019/05/20,-0.084
2019/05/21,-0.067
